"Serial.No..of.Polling.Station"	"No..of.Valid.Votes.Cast.in.Favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"Total.of.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"62"	"52"	"20"	"25"	"90"	"148"	"31"	"9"	"13"	"5"	"2"	"13"	"3"	"359"	""	"359"	""
"63"	"53"	"33"	"6"	"33"	"211"	"4"	"5"	"0"	"3"	"1"	"8"	"8"	"312"	""	"312"	""
"64"	"54"	"78"	"3"	"81"	"109"	"5"	"2"	"2"	"1"	"0"	"3"	"1"	"285"	""	"285"	""
"65"	"55"	"18"	"136"	"57"	"75"	"4"	"5"	"5"	"4"	"7"	"8"	"11"	"330"	""	"330"	""
"66"	"56"	"15"	"138"	"87"	"11"	"52"	"3"	"2"	"1"	"4"	"4"	"4"	"321"	""	"321"	""
"67"	"Grand
Total"	"334"	"926"	"1112"	"2272"	"518"	"123"	"96"	"88"	"57"	"128"	"136"	"5790"	"0"	"5790"	"0"
"68"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"69"	""	"Umesh
Kumar Ranjan Mahto"	"Ram Bahadur Singh"	"Suryadeo Rai"	"Nagina Devi"	"Rampravesh Yadav"	"Rambabu Rai"	"Shivshanker Mandal"	"Chandrika Prasad"	"Bhagrith Baitha"	"Rampukar Paswan"	"Satan Paswan"	""	""	""	""
"70"	"57"	"6"	"2"	"147"	"29"	"117"	"8"	"0"	"3"	"6"	"4"	"11"	"333"	""	"333"	""
"71"	"58"	"2"	"16"	"107"	"7"	"43"	"2"	"0"	"4"	"4"	"3"	"14"	"202"	""	"202"	""
"72"	"59"	"24"	"38"	"119"	"192"	"201"	"31"	"11"	"12"	"4"	"13"	"28"	"673"	""	"673"	""
"73"	"60"	"4"	"1"	"503"	"18"	"30"	"3"	"2"	"1"	"0"	"0"	"1"	"563"	""	"563"	""
"74"	"61"	"36"	"58"	"42"	"157"	"33"	"10"	"2"	"2"	"2"	"9"	"3"	"354"	""	"354"	""
"75"	"62"	"87"	"131"	"94"	"22"	"47"	"6"	"10"	"7"	"17"	"5"	"7"	"433"	""	"433"	""
"76"	"63"	"9"	"8"	"159"	"144"	"151"	"16"	"3"	"1"	"9"	"8"	"12"	"520"	""	"520"	""
"77"	"64"	"1"	"18"	"112"	"19"	"78"	"9"	"0"	"2"	"1"	"1"	"6"	"247"	""	"247"	""
"78"	"65"	"10"	"5"	"113"	"90"	"88"	"7"	"2"	"4"	"6"	"2"	"13"	"340"	""	"340"	""
"79"	"66"	"15"	"5"	"74"	"138"	"300"	"12"	"4"	"0"	"2"	"11"	"3"	"564"	""	"564"	""
"80"	"67"	"45"	"21"	"171"	"298"	"124"	"8"	"1"	"6"	"2"	"8"	"15"	"699"	""	"699"	""
"81"	"68"	"28"	"9"	"119"	"112"	"113"	"12"	"6"	"2"	"5"	"7"	"12"	"425"	""	"425"	""
"82"	"69"	"66"	"10"	"93"	"157"	"67"	"12"	"4"	"5"	"2"	"8"	"6"	"430"	""	"430"	""
"83"	"70"	"13"	"104"	"73"	"115"	"71"	"8"	"9"	"7"	"5"	"5"	"23"	"433"	""	"433"	""
"84"	"Grand
Total"	"346"	"426"	"1926"	"1498"	"1463"	"144"	"54"	"56"	"65"	"84"	"154"	"6216"	"0"	"6216"	"0"
"85"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"86"	""	"Umesh
Kumar Ranjan Mahto"	"Ram Bahadur Singh"	"Suryadeo Rai"	"Nagina Devi"	"Rampravesh Yadav"	"Rambabu Rai"	"Shivshanker Mandal"	"Chandrika Prasad"	"Bhagrith Baitha"	"Rampukar Paswan"	"Satan Paswan"	""	""	""	""
"87"	"71"	"23"	"18"	"106"	"179"	"83"	"31"	"9"	"18"	"7"	"21"	"33"	"528"	""	"528"	""
"88"	"72"	"45"	"41"	"99"	"121"	"65"	"7"	"7"	"4"	"9"	"23"	"23"	"444"	""	"444"	""
"89"	"73"	"9"	"6"	"232"	"66"	"177"	"7"	"3"	"2"	"2"	"8"	"12"	"524"	""	"524"	""
"90"	"74"	"8"	"9"	"38"	"50"	"246"	"6"	"2"	"4"	"1"	"2"	"3"	"369"	""	"369"	""
"91"	"75"	"8"	"71"	"14"	"21"	"292"	"6"	"7"	"6"	"3"	"1"	"8"	"437"	""	"437"	""
"92"	"76"	"16"	"8"	"109"	"9"	"338"	"13"	"2"	"3"	"5"	"2"	"3"	"508"	""	"508"	""
"93"	"77"	"4"	"1"	"44"	"12"	"185"	"9"	"4"	"4"	"0"	"5"	"5"	"273"	""	"273"	""
"94"	"78"	"3"	"21"	"79"	"5"	"276"	"7"	"4"	"1"	"2"	"3"	"6"	"407"	""	"407"	""
"95"	"79"	"12"	"27"	"230"	"9"	"512"	"7"	"3"	"2"	"1"	"2"	"3"	"808"	""	"808"	""
"96"	"80"	"14"	"24"	"272"	"15"	"213"	"2"	"4"	"6"	"13"	"3"	"19"	"585"	""	"585"	""
"97"	"81"	"1"	"3"	"224"	"5"	"121"	"2"	"1"	"0"	"0"	"0"	"1"	"358"	""	"358"	""
"98"	"82"	"4"	"2"	"214"	"7"	"175"	"5"	"1"	"1"	"2"	"0"	"0"	"411"	""	"411"	""
"99"	"83"	"15"	"87"	"76"	"53"	"186"	"7"	"2"	"1"	"0"	"2"	"1"	"430"	""	"430"	""
"100"	"84"	"1"	"58"	"96"	"97"	"124"	"7"	"3"	"2"	"2"	"4"	"2"	"396"	""	"396"	""
"101"	"Grand
Total"	"163"	"376"	"1833"	"649"	"2993"	"116"	"52"	"54"	"47"	"76"	"119"	"6478"	"0"	"6478"	"0"
"102"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"103"	""	"Umesh
Kumar Ranjan Mahto"	"Ram Bahadur Singh"	"Suryadeo Rai"	"Nagina Devi"	"Rampravesh Yadav"	"Rambabu Rai"	"Shivshanker Mandal"	"Chandrika Prasad"	"Bhagrith Baitha"	"Rampukar Paswan"	"Satan Paswan"	""	""	""	""
"104"	"85"	"32"	"201"	"79"	"101"	"26"	"4"	"10"	"5"	"8"	"13"	"4"	"483"	""	"483"	""
"105"	"86"	"3"	"134"	"46"	"131"	"18"	"10"	"9"	"8"	"11"	"9"	"17"	"396"	""	"396"	""
"106"	"87"	"14"	"8"	"160"	"131"	"12"	"9"	"1"	"0"	"0"	"6"	"3"	"344"	""	"344"	""
"107"	"88"	"1"	"4"	"79"	"120"	"161"	"8"	"2"	"2"	"1"	"6"	"2"	"386"	""	"386"	""
"108"	"89"	"10"	"18"	"112"	"51"	"78"	"6"	"6"	"4"	"3"	"3"	"7"	"298"	""	"298"	""
"109"	"90"	"8"	"39"	"121"	"319"	"24"	"12"	"6"	"9"	"11"	"8"	"13"	"570"	""	"570"	""
"110"	"91"	"28"	"34"	"95"	"320"	"13"	"10"	"1"	"2"	"3"	"14"	"3"	"523"	""	"523"	""
"111"	"92"	"9"	"66"	"206"	"177"	"35"	"16"	"2"	"2"	"4"	"9"	"12"	"538"	""	"538"	""
"112"	"93"	"23"	"355"	"88"	"111"	"73"	"17"	"27"	"15"	"17"	"33"	"40"	"799"	""	"799"	""
"113"	"94"	"34"	"20"	"170"	"315"	"21"	"19"	"2"	"15"	"3"	"17"	"24"	"640"	""	"640"	""
"114"	"95"	"13"	"42"	"125"	"187"	"13"	"13"	"4"	"1"	"2"	"6"	"3"	"409"	""	"409"	""
"115"	"96"	"25"	"64"	"115"	"179"	"9"	"12"	"7"	"8"	"4"	"9"	"21"	"453"	""	"453"	""
"116"	"97"	"3"	"236"	"208"	"12"	"110"	"16"	"10"	"2"	"5"	"4"	"8"	"614"	""	"614"	""
"117"	"98"	"36"	"273"	"235"	"74"	"22"	"11"	"16"	"4"	"11"	"15"	"16"	"713"	""	"713"	""
"118"	"Grand
Total"	"239"	"1494"	"1839"	"2228"	"615"	"163"	"103"	"77"	"83"	"152"	"173"	"7166"	"0"	"7166"	"0"
"119"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"120"	""	"Umesh
Kumar Ranjan Mahto"	"Ram Bahadur Singh"	"Suryadeo Rai"	"Nagina Devi"	"Rampravesh Yadav"	"Rambabu Rai"	"Shivshanker Mandal"	"Chandrika Prasad"	"Bhagrith Baitha"	"Rampukar Paswan"	"Satan Paswan"	""	""	""	""
"121"	"99"	"17"	"63"	"244"	"87"	"18"	"15"	"7"	"7"	"9"	"6"	"17"	"490"	""	"490"	""
"122"	"100"	"13"	"252"	"79"	"41"	"5"	"9"	"13"	"8"	"14"	"8"	"9"	"451"	""	"451"	""
"123"	"101"	"21"	"82"	"211"	"102"	"15"	"14"	"4"	"4"	"9"	"7"	"15"	"484"	""	"484"	""
"124"	"102"	"22"	"407"	"33"	"26"	"8"	"0"	"1"	"0"	"0"	"3"	"0"	"500"	""	"500"	""
"125"	"103"	"20"	"278"	"163"	"206"	"50"	"19"	"18"	"17"	"23"	"29"	"15"	"838"	""	"838"	""
"126"	"104"	"10"	"142"	"79"	"126"	"23"	"11"	"10"	"11"	"12"	"11"	"19"	"454"	""	"454"	""
"127"	"105"	"16"	"330"	"101"	"16"	"22"	"6"	"23"	"11"	"21"	"22"	"27"	"595"	""	"595"	""
"128"	"106"	"8"	"7"	"319"	"16"	"73"	"1"	"1"	"2"	"5"	"6"	"14"	"452"	""	"452"	""
"129"	"107"	"3"	"40"	"117"	"6"	"36"	"2"	"5"	"2"	"8"	"10"	"17"	"246"	""	"246"	""
"130"	"108"	"16"	"217"	"74"	"55"	"155"	"13"	"9"	"11"	"13"	"18"	"19"	"600"	""	"600"	""
"131"	"109"	"10"	"162"	"87"	"327"	"28"	"9"	"3"	"3"	"3"	"6"	"7"	"645"	""	"645"	""
"132"	"110"	"5"	"33"	"185"	"32"	"34"	"4"	"3"	"4"	"2"	"5"	"6"	"313"	""	"313"	""
"133"	"111"	"10"	"149"	"90"	"346"	"34"	"15"	"3"	"8"	"3"	"7"	"11"	"676"	""	"676"	""
"134"	"112"	"9"	"477"	"46"	"62"	"36"	"2"	"7"	"3"	"3"	"8"	"7"	"660"	""	"660"	""
"135"	"Grand
Total"	"180"	"2639"	"1828"	"1448"	"537"	"120"	"107"	"91"	"125"	"146"	"183"	"7404"	"0"	"7404"	"0"
"136"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"137"	""	"Umesh
Kumar Ranjan Mahto"	"Ram Bahadur Singh"	"Suryadeo Rai"	"Nagina Devi"	"Rampravesh Yadav"	"Rambabu Rai"	"Shivshanker Mandal"	"Chandrika Prasad"	"Bhagrith Baitha"	"Rampukar Paswan"	"Satan Paswan"	""	""	""	""
"138"	"113"	"16"	"28"	"184"	"79"	"27"	"16"	"3"	"12"	"8"	"23"	"24"	"420"	""	"420"	""
"139"	"114"	"19"	"284"	"66"	"50"	"39"	"10"	"19"	"9"	"16"	"17"	"47"	"576"	""	"576"	""
"140"	"115"	"16"	"249"	"203"	"123"	"72"	"12"	"13"	"17"	"10"	"25"	"23"	"763"	""	"763"	""
"141"	"116"	"8"	"209"	"4"	"7"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"231"	""	"231"	""
"142"	"117"	"10"	"179"	"160"	"85"	"56"	"9"	"9"	"5"	"8"	"11"	"19"	"551"	""	"551"	""
"143"	"118"	"25"	"306"	"183"	"99"	"27"	"13"	"7"	"4"	"4"	"15"	"27"	"710"	""	"710"	""
"144"	"119"	"11"	"4"	"156"	"121"	"73"	"6"	"7"	"6"	"1"	"14"	"14"	"413"	""	"413"	""
"145"	"120"	"21"	"154"	"171"	"181"	"25"	"15"	"13"	"20"	"21"	"37"	"29"	"687"	""	"687"	""
"146"	"121"	"3"	"2"	"182"	"102"	"31"	"7"	"1"	"4"	"3"	"7"	"20"	"362"	""	"362"	""
"147"	"122"	"6"	"4"	"115"	"45"	"38"	"5"	"1"	"2"	"1"	"4"	"6"	"227"	""	"227"	""
"148"	"123"	"15"	"55"	"130"	"16"	"82"	"2"	"4"	"7"	"8"	"9"	"30"	"358"	""	"358"	""
"149"	"124"	"5"	"137"	"51"	"96"	"3"	"6"	"2"	"1"	"1"	"7"	"4"	"313"	""	"313"	""
"150"	"125"	"6"	"8"	"28"	"165"	"1"	"4"	"2"	"0"	"0"	"6"	"6"	"226"	""	"226"	""
"151"	"126"	"15"	"169"	"70"	"104"	"5"	"18"	"17"	"15"	"25"	"19"	"21"	"478"	""	"478"	""
"152"	"Grand
Total"	"176"	"1788"	"1703"	"1273"	"480"	"123"	"98"	"102"	"106"	"196"	"270"	"6315"	"0"	"6315"	"0"
"153"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"154"	""	"Umesh
Kumar Ranjan Mahto"	"Ram Bahadur Singh"	"Suryadeo Rai"	"Nagina Devi"	"Rampravesh Yadav"	"Rambabu Rai"	"Shivshanker Mandal"	"Chandrika Prasad"	"Bhagrith Baitha"	"Rampukar Paswan"	"Satan Paswan"	""	""	""	""
"155"	"127"	"42"	"101"	"69"	"207"	"16"	"14"	"16"	"13"	"9"	"29"	"20"	"536"	""	"536"	""
"156"	"128"	"1"	"127"	"61"	"191"	"5"	"9"	"7"	"1"	"8"	"9"	"5"	"424"	""	"424"	""
"157"	"129"	"5"	"111"	"145"	"128"	"11"	"8"	"5"	"8"	"6"	"9"	"4"	"440"	""	"440"	""
"158"	"130"	"18"	"59"	"69"	"411"	"4"	"8"	"3"	"1"	"0"	"6"	"1"	"580"	""	"580"	""
"159"	"131"	"0"	"2"	"230"	"278"	"22"	"5"	"0"	"1"	"1"	"1"	"0"	"540"	""	"540"	""
"160"	"132"	"1"	"0"	"60"	"451"	"4"	"4"	"1"	"0"	"0"	"4"	"0"	"525"	""	"525"	""
"161"	"133"	"4"	"1"	"58"	"633"	"6"	"4"	"1"	"3"	"0"	"1"	"6"	"717"	""	"717"	""
"162"	"134"	"6"	"117"	"130"	"173"	"5"	"20"	"15"	"9"	"10"	"32"	"18"	"535"	""	"535"	""
"163"	"135"	"3"	"66"	"27"	"109"	"2"	"2"	"4"	"2"	"1"	"5"	"0"	"221"	""	"221"	""
"164"	"136"	"7"	"248"	"119"	"67"	"3"	"2"	"6"	"0"	"10"	"8"	"8"	"478"	""	"478"	""
"165"	"137"	"10"	"85"	"101"	"181"	"9"	"12"	"8"	"2"	"7"	"9"	"18"	"442"	""	"442"	""
"166"	"138"	"19"	"181"	"79"	"348"	"5"	"9"	"6"	"7"	"5"	"16"	"3"	"678"	""	"678"	""
"167"	"139"	"12"	"119"	"86"	"322"	"16"	"13"	"10"	"16"	"9"	"26"	"15"	"644"	""	"644"	""
"168"	"140"	"24"	"79"	"108"	"243"	"21"	"21"	"16"	"18"	"12"	"29"	"19"	"590"	""	"590"	""
"169"	"Grand
Total"	"152"	"1296"	"1342"	"3742"	"129"	"131"	"98"	"81"	"78"	"184"	"117"	"7350"	"0"	"7350"	"0"
"170"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"171"	""	"Umesh
Kumar Ranjan Mahto"	"Ram Bahadur Singh"	"Suryadeo Rai"	"Nagina Devi"	"Rampravesh Yadav"	"Rambabu Rai"	"Shivshanker Mandal"	"Chandrika Prasad"	"Bhagrith Baitha"	"Rampukar Paswan"	"Satan Paswan"	""	""	""	""
"172"	"141"	"17"	"307"	"60"	"69"	"1"	"5"	"9"	"4"	"15"	"12"	"7"	"506"	""	"506"	""
"173"	"142"	"3"	"2"	"98"	"202"	"25"	"6"	"1"	"3"	"0"	"4"	"2"	"346"	""	"346"	""
"174"	"143"	"9"	"25"	"122"	"396"	"20"	"5"	"3"	"3"	"0"	"2"	"4"	"589"	""	"589"	""
"175"	"144"	"5"	"194"	"60"	"290"	"7"	"10"	"5"	"6"	"1"	"10"	"2"	"590"	""	"590"	""
"176"	"145"	"21"	"146"	"96"	"351"	"11"	"20"	"5"	"5"	"7"	"13"	"12"	"687"	""	"687"	""
"177"	"146"	"35"	"299"	"100"	"197"	"18"	"19"	"27"	"14"	"25"	"19"	"29"	"782"	""	"782"	""
"178"	"147"	"27"	"328"	"142"	"105"	"11"	"12"	"27"	"13"	"21"	"23"	"16"	"725"	""	"725"	""
"179"	"148"	"10"	"281"	"121"	"32"	"5"	"5"	"16"	"7"	"4"	"13"	"13"	"507"	""	"507"	""
"180"	"149"	"17"	"242"	"154"	"103"	"7"	"10"	"16"	"10"	"14"	"14"	"17"	"604"	""	"604"	""
"181"	"150"	"11"	"200"	"148"	"65"	"6"	"2"	"11"	"6"	"8"	"8"	"4"	"469"	""	"469"	""
"182"	"151"	"5"	"50"	"96"	"267"	"7"	"27"	"5"	"7"	"2"	"16"	"14"	"496"	""	"496"	""
"183"	"152"	"2"	"433"	"94"	"19"	"0"	"1"	"8"	"1"	"5"	"5"	"2"	"570"	""	"570"	""
"184"	"153"	"14"	"199"	"79"	"63"	"5"	"9"	"26"	"6"	"18"	"21"	"30"	"470"	""	"470"	""
"185"	"154"	"18"	"175"	"111"	"73"	"1"	"10"	"4"	"3"	"5"	"6"	"12"	"418"	""	"418"	""
"186"	"Grand
Total"	"194"	"2881"	"1481"	"2232"	"124"	"141"	"163"	"88"	"125"	"166"	"164"	"7759"	"0"	"7759"	"0"
"187"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"188"	""	"Umesh
Kumar Ranjan Mahto"	"Ram Bahadur Singh"	"Suryadeo Rai"	"Nagina Devi"	"Rampravesh Yadav"	"Rambabu Rai"	"Shivshanker Mandal"	"Chandrika Prasad"	"Bhagrith Baitha"	"Rampukar Paswan"	"Satan Paswan"	""	""	""	""
