"Booths"	"Candidates"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"
"174"	"163"	293	20	107	112	12	10	24	2	11	-591
"175"	"164"	100	2	86	237	14	14	33	3	3	-492
"176"	"165"	240	22	173	80	15	9	32	10	13	-594
"177"	"166"	137	13	121	48	9	4	7	4	7	-350
"178"	"167"	98	8	146	152	11	10	30	8	6	-469
"179"	"168"	329	10	103	90	6	2	11	6	2	-559
"180"	"169"	68	9	184	54	8	6	13	8	7	-357
"181"	"170"	278	11	71	59	2	2	6	2	1	-432
"182"	"171"	39	3	110	50	10	9	5	2	2	-230
"183"	"172"	721	6	12	47	3	0	5	0	1	-795
"184"	"173"	144	14	171	132	20	19	38	11	16	-565
"185"	"174"	101	7	204	60	11	8	5	5	17	-418
"186"	"175"	285	17	62	66	11	5	21	5	9	-481
"187"	"176"	277	10	59	91	10	10	15	10	25	-507
"188"	"177"	328	12	55	244	5	6	14	1	4	-669
"189"	"178"	131	12	265	11	3	3	8	2	12	-447
"190"	"179"	130	8	335	11	8	3	3	2	4	-504
"191"	"180"	350	17	93	49	7	7	14	12	17	-566
"192"	"181"	145	7	108	90	12	7	12	1	13	-395
"193"	"182"	293	32	91	50	13	4	22	12	20	-537
"194"	"183"	51	7	619	34	13	10	13	10	18	-775
"195"	"184"	207	16	92	22	4	5	14	6	18	-384
"196"	"185"	363	14	161	65	8	6	28	6	16	-667
"197"	"186"	422	23	159	14	8	3	4	1	9	-643
"198"	"POSTAL VOTE"	0	0	0	0	0	0	0	0	0	0
"199"	"TOTAL OF CANDID
ATE"	-37758	-2353	-25795	-14188	-1452	-1142	-2825	-916	-1760	-88189
"200"	"ROUND"	2400	84	1555	329	27	19	54	18	38	4524
"201"	"ROUND"	2638	173	831	645	45	48	109	43	64	4596
"202"	"ROUND"	1284	264	1365	1359	114	115	221	58	135	4915
"203"	"ROUND"	1042	252	997	1169	83	76	182	48	74	3923
"204"	"ROUND"	1306	86	899	1666	107	124	302	72	90	4652
"205"	"ROUND"	1956	64	738	889	85	50	155	51	93	4081
"206"	"ROUND"	2069	78	952	1090	112	92	245	67	94	4799
"207"	"ROUND"	1687	163	1452	920	98	79	205	61	118	4783
"208"	"ROUND"	2851	180	1021	438	55	43	108	49	89	4834
"209"	"ROUND"	1777	81	1946	354	40	34	123	35	76	4466
"210"	"ROUND"	3794	107	1400	273	44	24	57	39	86	5824
"211"	"ROUND"	2013	106	1267	772	68	62	135	47	83	4553
"212"	"ROUND"	1284	47	1686	627	50	35	109	35	75	3948
"213"	"ROUND"	1673	94	1887	440	48	49	112	48	153	4504
"214"	"ROUND"	3117	136	1460	380	59	31	111	54	126	5474
"215"	"ROUND"	1204	98	2114	919	185	96	212	56	107	4991
"216"	"ROUND"	1676	135	1629	882	86	60	164	49	58	4739
"217"	"ROUND"	2506	106	1366	761	88	70	128	50	107	5182
"218"	"ROUND"	1481	99	1230	275	58	35	93	36	94	3401
