"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 148---Alauli (SC) CONSTITUENCY"	""	""	""	""	""	""	""	""	""
"3"	"Form-20"	""	""	""	""	""	""	""	""	""
"4"	"Assembly Constituency :148---Alauli (SC)                                                                                            No of Voters :194962"	""	""	""	""	""	""	""	""	""
"5"	"Candidates Name BOOTH NO"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""
"6"	""	"DASHARATH RAM"	"PASHUPATI KUMAR PARAS"	"RAJESH KUMAR SADA"	"RAM CHANDRA SADA"	"BORHAN SADA"	"SANJAY RAM"	"HANS KUMAR"	"SHUSHILA DEVI"	"Total Valid Votes"
"171"	"160"	"11"	"100"	"17"	"358"	"18"	"5"	"15"	"14"	"538"
"172"	"161"	"5"	"45"	"8"	"686"	"46"	"9"	"12"	"7"	"818"
"173"	"162"	"27"	"148"	"21"	"266"	"21"	"9"	"20"	"18"	"530"
"174"	"163"	"10"	"134"	"20"	"209"	"2"	"3"	"15"	"3"	"396"
"175"	"164"	"18"	"173"	"20"	"180"	"19"	"11"	"29"	"29"	"479"
"176"	"165"	"9"	"42"	"11"	"303"	"14"	"8"	"4"	"9"	"400"
"177"	"165A"	"11"	"58"	"3"	"371"	"13"	"3"	"7"	"15"	"481"
"178"	"166"	"28"	"224"	"23"	"197"	"7"	"3"	"20"	"6"	"508"
"179"	"167"	"13"	"152"	"16"	"175"	"15"	"5"	"32"	"33"	"441"
"180"	"167A"	"15"	"360"	"8"	"47"	"6"	"3"	"31"	"13"	"483"
"181"	"168"	"24"	"57"	"9"	"430"	"25"	"10"	"19"	"30"	"604"
"182"	"169"	"36"	"45"	"11"	"521"	"25"	"12"	"12"	"20"	"682"
"183"	"170"	"45"	"154"	"15"	"280"	"13"	"8"	"22"	"7"	"544"
"184"	"171"	"20"	"162"	"15"	"280"	"3"	"4"	"15"	"12"	"511"
"185"	"172"	"11"	"247"	"4"	"94"	"11"	"4"	"17"	"7"	"395"
"186"	"173"	"18"	"243"	"13"	"40"	"5"	"4"	"30"	"6"	"359"
"187"	"174"	"10"	"259"	"8"	"130"	"8"	"2"	"13"	"7"	"437"
"188"	"175"	"7"	"78"	"9"	"155"	"4"	"1"	"15"	"7"	"276"
"189"	"176"	"19"	"44"	"12"	"558"	"25"	"9"	"9"	"29"	"705"
"190"	"177"	"48"	"80"	"16"	"510"	"19"	"9"	"23"	"23"	"728"
"191"	"178"	"29"	"166"	"23"	"480"	"15"	"10"	"34"	"18"	"775"
"192"	"179"	"4"	"99"	"9"	"223"	"7"	"2"	"12"	"8"	"364"
"193"	"180"	"17"	"175"	"14"	"259"	"5"	"9"	"16"	"11"	"506"
"194"	"181"	"18"	"370"	"13"	"24"	"5"	"6"	"22"	"13"	"471"
"195"	"182"	"12"	"357"	"18"	"257"	"13"	"2"	"10"	"12"	"681"
"196"	"183"	"24"	"189"	"14"	"396"	"15"	"10"	"24"	"12"	"684"
"197"	"184"	"44"	"215"	"22"	"327"	"11"	"11"	"34"	"17"	"681"
"198"	"185"	"17"	"34"	"10"	"386"	"18"	"5"	"5"	"14"	"489"
"199"	"186"	"8"	"31"	"7"	"273"	"11"	"4"	"9"	"22"	"365"
"200"	"187"	"10"	"158"	"23"	"302"	"24"	"9"	"20"	"21"	"567"
"201"	"Total:"	"3878"	"36131"	"3590"	"53722"	"2885"	"1162"	"4017"	"2792"	"108177"
"202"	"Postal Ballot"	"0"	"121"	"4"	"53"	"0"	"0"	"0"	"0"	"178"
"203"	"Grand Total:"	"3878"	"36252"	"3594"	"53775"	"2885"	"1162"	"4017"	"2792"	"108355"
"204"	"Place:  Khagaria                                                                                                                             Returning Officer"	""	""	""	""	""	""	""	""	""
"205"	"Date: 24/11/2010"	""	""	""	""	""	""	""	""	""
"206"	"Assembly Constituency :148---Alauli (SC)"	""	""	""	""	""	""	""	""	""
"207"	"Page -1 of 1"	""	""	""	""	""	""	""	""	""
