"BOOTH.NO."	"CHANDRASHEKHAR"	"DR..RAMENDRA.KUMAR.YADAV.RAVI"	"RAJENDRA.DAS"	"RAJESH.KUMAR.RAJNISH"	"NAWAL.KISHOR.SINGH"	"RAJ.KUMAR"	"SHASHI.SHEKHAR.YADAV"	"SURESH.KUMAR"	"SWATI.PRIYA"
"200"	177	410	296	4	6	8	1	12	26	10
"201"	178	451	193	3	7	4	3	2	20	10
"202"	179	448	142	6	7	8	2	5	24	7
"203"	180	223	139	2	14	8	2	6	45	10
"204"	181	348	233	9	20	13	1	17	45	16
"205"	182	308	168	11	4	0	5	8	21	10
"206"	183	295	69	3	4	5	1	20	9	5
"207"	184	385	97	6	25	7	5	17	49	21
"208"	185	164	102	1	5	8	0	3	12	5
"209"	186	296	240	5	5	5	5	6	52	16
"210"	187	257	268	8	12	10	3	4	32	7
"211"	188	188	383	9	38	2	1	8	68	22
"212"	189	382	272	7	36	7	5	3	28	11
"213"	190	269	219	5	19	2	2	8	37	7
"214"	191	214	182	11	34	5	8	11	34	24
"215"	192	220	499	7	10	5	17	5	46	12
"216"	193	149	446	15	9	7	4	5	39	8
"217"	194	247	478	15	12	17	19	17	68	25
"218"	195	475	303	13	20	16	8	6	43	24
"219"	196	120	77	5	155	5	2	5	4	2
"220"	197	376	287	4	7	9	4	9	41	6
"221"	198	141	557	10	22	12	8	8	79	10
"222"	199	347	83	5	4	0	0	8	11	7
"223"	200	539	159	7	5	7	7	10	31	20
"224"	201	105	492	7	11	18	8	9	77	19
"225"	202	333	116	6	7	7	6	4	21	11
"226"	203	62	297	12	3	4	2	8	45	19
"227"	204	240	208	7	10	7	3	9	26	9
"228"	205	396	238	0	8	6	3	15	84	33
"229"	206	186	412	6	5	12	2	12	68	14
"230"	207	227	380	16	45	18	8	28	72	36
"231"	208	269	358	8	20	11	6	7	59	21
"232"	209	406	173	9	7	17	4	7	34	15
"233"	210	233	370	10	7	7	4	2	57	10
"234"	211	500	188	4	20	7	7	4	33	18
"235"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"236"	212	342	256	10	13	8	4	16	84	69
"237"	213	408	180	7	16	9	2	3	16	13
"238"	214	236	242	8	33	8	4	6	27	7
"239"	215	16	614	6	5	3	1	6	41	6
"240"	216	60	483	5	6	4	2	7	58	15
"241"	217	495	233	7	39	18	8	11	33	24
"242"	218	70	358	10	11	10	5	8	125	41
"243"	219	340	289	2	23	9	2	8	66	13
"244"	220	143	432	10	47	14	3	19	93	11
"245"	221	337	25	8	4	3	4	2	5	17
"246"	222	70	317	2	7	4	0	2	37	12
"247"	223	274	178	5	32	10	4	5	53	16
"248"	224	310	93	3	4	10	1	8	20	9
"249"	225	299	319	14	10	9	5	7	34	24
"250"	226	191	146	1	34	8	3	3	5	1
"251"	227	285	164	7	9	8	2	4	11	5
