"er.nku.dsUnz.l.a....k"	"csCkh.dqekj.h"	"eql.kfQj..i.kl.oku"	"j.ebZ.j.ke"	"f..koukFk.i.kl.oku"	"l.gnso.j.ke"	"egsUnz.i.kl.oku"	"j.fo...kadj.i.kl.oku"	"j.ke.dqekj..j.t.d"	"j.ke.uanu.i.kl.oku"	"j.s..kk.dqekj.h"	"foUns..oj..i.kl.oku"	"X..k.q.ku.i.kl.oku"	"X..kadj..ek.h"	"f..koukFk.pkS.kj.h"	"dqy..fof.kekU..er"	"i.zfr..ksfi.r..er.ksa.dh.l.a....k"	"fufonr..er.ksa.dh.l.a....k"
"135"	124	23	157	262	1	2	0	2	5	3	0	1	4	14	9	483	NA	NA
"136"	125	29	104	218	4	1	0	3	2	2	1	1	5	9	5	384	NA	NA
"137"	126	13	77	397	4	1	1	1	1	8	0	1	3	9	10	526	NA	NA
"138"	127	21	97	257	3	3	7	16	8	56	5	4	4	16	12	509	NA	NA
"139"	128	16	111	251	3	1	4	2	2	4	2	1	2	12	9	420	NA	NA
"140"	129	37	122	326	10	2	5	5	12	14	5	4	14	29	27	612	NA	NA
"141"	130	26	232	378	9	6	2	3	7	3	1	5	4	23	21	720	NA	NA
"142"	131	24	122	543	13	5	16	6	23	10	6	14	17	28	33	860	NA	NA
"143"	132	19	196	130	4	4	1	8	3	20	1	6	5	18	11	426	NA	NA
"144"	133	37	138	263	6	0	5	0	5	1	1	3	17	17	16	509	NA	NA
"145"	134	39	196	229	18	2	7	5	7	3	0	6	3	14	13	542	NA	NA
"146"	135	14	129	240	8	1	7	12	7	42	4	8	3	15	19	509	NA	NA
"147"	136	5	51	196	1	1	0	1	2	1	1	5	2	1	13	280	NA	NA
"148"	137	16	232	108	2	2	0	3	3	3	2	5	9	16	12	413	NA	NA
"149"	138	4	249	63	0	2	0	2	3	22	1	1	3	15	8	373	NA	NA
"150"	NA	25	280	89	2	2	0	1	3	7	1	0	3	4	5	422	NA	NA
"151"	139	22	100	261	7	9	6	20	7	41	1	6	3	10	15	508	NA	NA
"152"	140	31	28	350	8	4	4	6	4	22	5	5	4	7	16	494	NA	NA
