"Serial.No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"Total.of.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.tendered.votes"
"69"	"63"	"66"	"51"	"11"	"131"	"12"	"5"	"1"	"4"	"9"	"290"	"0"	"290"	"0"
"70"	"64"	"333"	"2"	"5"	"10"	"0"	"0"	"0"	"1"	"4"	"355"	"0"	"355"	"0"
"71"	"65"	"340"	"10"	"1"	"7"	"0"	"1"	"1"	"2"	"8"	"370"	"0"	"370"	"0"
"72"	"66"	"630"	"0"	"32"	"12"	"0"	"0"	"0"	"0"	"5"	"679"	"0"	"679"	"0"
"73"	"67"	"336"	"2"	"3"	"33"	"5"	"0"	"0"	"3"	"8"	"390"	"0"	"390"	"0"
"74"	"68"	"193"	"2"	"2"	"16"	"1"	"1"	"0"	"1"	"4"	"220"	"0"	"220"	"0"
"75"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"76"	""	"ANANT KUMAR SINGH"	"PRADEEP KUMAR"	"SHYAM SUNDAR SINGH"	"SONAM DEVI"	"RAMDAYA L MAHTO"	"GOPAL PRASAD PASWAN"	"BIJENDRA KUMAR"	"MITHLESH YADAV"	"SRI SANJAY SINGH"	""	""	""	""
"77"	"69"	"300"	"3"	"0"	"9"	"3"	"2"	"0"	"0"	"2"	"319"	"0"	"319"	"0"
"78"	"70"	"347"	"12"	"4"	"138"	"7"	"11"	"11"	"11"	"16"	"557"	"0"	"557"	"0"
"79"	"71"	"160"	"7"	"5"	"69"	"7"	"4"	"8"	"6"	"6"	"272"	"0"	"272"	"0"
"80"	"72"	"274"	"4"	"4"	"44"	"21"	"3"	"0"	"29"	"2"	"381"	"0"	"381"	"0"
"81"	"73"	"331"	"17"	"4"	"43"	"8"	"6"	"4"	"25"	"13"	"451"	"0"	"451"	"0"
"82"	"74"	"124"	"0"	"2"	"98"	"12"	"2"	"4"	"4"	"8"	"254"	"0"	"254"	"0"
"83"	"75"	"147"	"6"	"12"	"468"	"19"	"16"	"18"	"10"	"11"	"707"	"0"	"707"	"0"
"84"	"76"	"79"	"6"	"24"	"502"	"20"	"37"	"22"	"11"	"41"	"742"	"0"	"742"	"0"
"85"	"77"	"129"	"6"	"13"	"297"	"11"	"14"	"18"	"7"	"15"	"510"	"0"	"510"	"0"
"86"	"78"	"67"	"4"	"6"	"384"	"36"	"22"	"13"	"33"	"22"	"587"	"0"	"587"	"0"
"87"	"79"	"83"	"1"	"9"	"435"	"11"	"12"	"11"	"6"	"9"	"577"	"0"	"577"	"0"
"88"	"80"	"106"	"1"	"12"	"508"	"17"	"14"	"10"	"9"	"16"	"693"	"0"	"693"	"0"
"89"	"81"	"126"	"5"	"23"	"325"	"8"	"6"	"8"	"23"	"12"	"536"	"0"	"536"	"0"
"90"	"82"	"152"	"9"	"6"	"465"	"12"	"15"	"9"	"139"	"27"	"834"	"0"	"834"	"0"
"91"	"83"	"83"	"2"	"4"	"318"	"5"	"3"	"2"	"11"	"10"	"438"	"0"	"438"	"0"
"92"	"84"	"208"	"3"	"33"	"339"	"6"	"2"	"5"	"3"	"6"	"605"	"0"	"605"	"0"
"93"	"85"	"206"	"2"	"30"	"266"	"12"	"14"	"10"	"17"	"20"	"577"	"0"	"577"	"0"
"94"	"86"	"204"	"15"	"7"	"118"	"47"	"8"	"7"	"4"	"11"	"421"	"0"	"421"	"0"
"95"	"87"	"222"	"1"	"10"	"539"	"13"	"19"	"22"	"33"	"22"	"881"	"0"	"881"	"0"
"96"	"88"	"128"	"0"	"15"	"231"	"11"	"7"	"8"	"2"	"20"	"422"	"0"	"422"	"0"
"97"	"89"	"276"	"3"	"15"	"252"	"16"	"10"	"12"	"9"	"22"	"615"	"0"	"615"	"0"
"98"	"90"	"308"	"6"	"15"	"427"	"25"	"22"	"11"	"9"	"30"	"853"	"0"	"853"	"0"
"99"	"91"	"201"	"2"	"8"	"151"	"5"	"1"	"4"	"4"	"24"	"400"	"0"	"400"	"0"
"100"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"101"	""	"ANANT KUMAR SINGH"	"PRADEEP KUMAR"	"SHYAM SUNDAR SINGH"	"SONAM DEVI"	"RAMDAYA L MAHTO"	"GOPAL PRASAD PASWAN"	"BIJENDRA KUMAR"	"MITHLESH YADAV"	"SRI SANJAY SINGH"	""	""	""	""
"102"	"92"	"276"	"3"	"10"	"189"	"10"	"7"	"6"	"3"	"26"	"530"	"0"	"530"	"0"
"103"	"93"	"319"	"2"	"26"	"179"	"10"	"10"	"6"	"6"	"16"	"574"	"0"	"574"	"0"
"104"	"94"	"140"	"1"	"14"	"147"	"5"	"10"	"0"	"2"	"6"	"325"	"0"	"325"	"0"
"105"	"95"	"120"	"2"	"3"	"42"	"367"	"9"	"9"	"1"	"17"	"570"	"0"	"570"	"0"
"106"	"96"	"335"	"6"	"15"	"75"	"46"	"3"	"1"	"1"	"12"	"494"	"0"	"494"	"0"
"107"	"97"	"112"	"3"	"1"	"34"	"397"	"5"	"2"	"2"	"5"	"561"	"0"	"561"	"0"
"108"	"98"	"273"	"1"	"13"	"345"	"127"	"27"	"24"	"8"	"28"	"846"	"0"	"846"	"0"
"109"	"99"	"267"	"5"	"14"	"372"	"12"	"10"	"14"	"4"	"12"	"710"	"0"	"710"	"0"
"110"	"100"	"361"	"7"	"11"	"454"	"14"	"3"	"4"	"3"	"26"	"883"	"0"	"883"	"0"
"111"	"101"	"537"	"1"	"12"	"304"	"12"	"9"	"3"	"2"	"25"	"905"	"0"	"905"	"0"
"112"	"102"	"250"	"4"	"15"	"269"	"9"	"12"	"14"	"3"	"17"	"593"	"0"	"593"	"0"
"113"	"103"	"138"	"4"	"4"	"165"	"6"	"12"	"6"	"2"	"17"	"354"	"0"	"354"	"0"
"114"	"104"	"132"	"4"	"12"	"321"	"67"	"9"	"15"	"8"	"21"	"589"	"0"	"589"	"0"
"115"	"105"	"78"	"1"	"4"	"26"	"62"	"5"	"2"	"1"	"6"	"185"	"0"	"185"	"0"
"116"	"106"	"86"	"0"	"3"	"316"	"9"	"9"	"3"	"3"	"17"	"446"	"0"	"446"	"0"
"117"	"107"	"94"	"3"	"7"	"325"	"17"	"11"	"4"	"1"	"11"	"473"	"0"	"473"	"0"
"118"	"108"	"173"	"8"	"19"	"341"	"6"	"17"	"10"	"7"	"19"	"600"	"0"	"600"	"0"
"119"	"109"	"262"	"8"	"15"	"224"	"11"	"10"	"6"	"7"	"14"	"557"	"0"	"557"	"0"
"120"	"109 A"	"62"	"4"	"3"	"200"	"10"	"14"	"10"	"9"	"15"	"327"	"0"	"327"	"0"
"121"	"110"	"176"	"1"	"2"	"100"	"3"	"0"	"2"	"2"	"12"	"298"	"0"	"298"	"0"
"122"	"111"	"291"	"3"	"14"	"160"	"8"	"3"	"3"	"2"	"30"	"514"	"0"	"514"	"0"
"123"	"112"	"242"	"2"	"13"	"330"	"2"	"5"	"2"	"1"	"33"	"630"	"0"	"630"	"0"
"124"	"113"	"291"	"8"	"25"	"285"	"17"	"14"	"9"	"8"	"31"	"688"	"0"	"688"	"0"
"125"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"126"	""	"ANANT KUMAR SINGH"	"PRADEEP KUMAR"	"SHYAM SUNDAR SINGH"	"SONAM DEVI"	"RAMDAYA L MAHTO"	"GOPAL PRASAD PASWAN"	"BIJENDRA KUMAR"	"MITHLESH YADAV"	"SRI SANJAY SINGH"	""	""	""	""
"127"	"114"	"135"	"6"	"12"	"287"	"12"	"8"	"16"	"22"	"21"	"519"	"0"	"519"	"0"
"128"	"115"	"277"	"3"	"20"	"307"	"8"	"12"	"14"	"17"	"43"	"701"	"0"	"701"	"0"
"129"	"116"	"226"	"8"	"23"	"286"	"14"	"10"	"4"	"20"	"41"	"632"	"0"	"632"	"0"
"130"	"117"	"51"	"1"	"1"	"46"	"1"	"0"	"3"	"1"	"1"	"105"	"0"	"105"	"0"
"131"	"118"	"398"	"1"	"67"	"195"	"2"	"2"	"0"	"3"	"35"	"703"	"0"	"703"	"0"
"132"	"119"	"265"	"4"	"20"	"179"	"11"	"5"	"1"	"1"	"8"	"494"	"0"	"494"	"0"
"133"	"120"	"148"	"0"	"2"	"439"	"10"	"7"	"4"	"1"	"36"	"647"	"0"	"647"	"0"
"134"	"121"	"257"	"1"	"12"	"148"	"7"	"3"	"4"	"3"	"90"	"525"	"0"	"525"	"0"
"135"	"122"	"130"	"1"	"2"	"79"	"2"	"3"	"5"	"1"	"61"	"284"	"0"	"284"	"0"
"136"	"123"	"173"	"4"	"20"	"172"	"7"	"10"	"4"	"11"	"37"	"438"	"0"	"438"	"0"
"137"	"124"	"332"	"10"	"11"	"296"	"17"	"8"	"14"	"10"	"25"	"723"	"0"	"723"	"0"
"138"	"125"	"151"	"3"	"7"	"246"	"6"	"6"	"3"	"3"	"14"	"439"	"0"	"439"	"0"
"139"	"126"	"135"	"3"	"9"	"308"	"15"	"12"	"7"	"4"	"25"	"518"	"0"	"518"	"0"
"140"	"127"	"87"	"4"	"10"	"324"	"5"	"8"	"2"	"3"	"22"	"465"	"0"	"465"	"0"
"141"	"128"	"123"	"2"	"17"	"343"	"6"	"5"	"3"	"1"	"16"	"516"	"0"	"516"	"0"
"142"	"129"	"26"	"4"	"3"	"191"	"3"	"3"	"4"	"5"	"50"	"289"	"0"	"289"	"0"
"143"	"130"	"24"	"0"	"4"	"105"	"2"	"3"	"2"	"0"	"125"	"265"	"0"	"265"	"0"
"144"	"131"	"67"	"3"	"9"	"414"	"9"	"10"	"4"	"2"	"16"	"534"	"0"	"534"	"0"
"145"	"132"	"162"	"2"	"7"	"496"	"23"	"13"	"21"	"5"	"40"	"769"	"0"	"769"	"0"
"146"	"133"	"175"	"3"	"0"	"431"	"18"	"21"	"8"	"22"	"22"	"700"	"0"	"700"	"0"
"147"	"134"	"35"	"2"	"3"	"269"	"12"	"23"	"3"	"4"	"26"	"377"	"0"	"377"	"0"
"148"	"135"	"117"	"4"	"2"	"272"	"8"	"9"	"8"	"4"	"115"	"539"	"0"	"539"	"0"
"149"	"136"	"169"	"1"	"7"	"196"	"1"	"2"	"2"	"0"	"13"	"391"	"0"	"391"	"0"
"150"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"151"	""	"ANANT KUMAR SINGH"	"PRADEEP KUMAR"	"SHYAM SUNDAR SINGH"	"SONAM DEVI"	"RAMDAYA L MAHTO"	"GOPAL PRASAD PASWAN"	"BIJENDRA KUMAR"	"MITHLESH YADAV"	"SRI SANJAY SINGH"	""	""	""	""
"152"	"137"	"82"	"1"	"3"	"308"	"10"	"13"	"5"	"3"	"25"	"450"	"0"	"450"	"0"
"153"	"138"	"126"	"7"	"15"	"429"	"22"	"26"	"8"	"8"	"47"	"688"	"0"	"688"	"0"
"154"	"139"	"110"	"1"	"4"	"317"	"13"	"6"	"6"	"5"	"5"	"467"	"0"	"467"	"0"
"155"	"140"	"65"	"2"	"4"	"298"	"10"	"12"	"9"	"2"	"17"	"419"	"0"	"419"	"0"
"156"	"141"	"123"	"1"	"3"	"356"	"13"	"12"	"3"	"2"	"16"	"529"	"0"	"529"	"0"
"157"	"142"	"130"	"5"	"3"	"617"	"18"	"10"	"7"	"1"	"29"	"820"	"0"	"820"	"0"
"158"	"143"	"264"	"1"	"46"	"319"	"16"	"6"	"8"	"2"	"14"	"676"	"0"	"676"	"0"
"159"	"144"	"210"	"0"	"15"	"363"	"14"	"10"	"2"	"2"	"33"	"649"	"0"	"649"	"0"
"160"	"145"	"349"	"3"	"21"	"260"	"4"	"3"	"12"	"7"	"4"	"663"	"0"	"663"	"0"
"161"	"146"	"121"	"4"	"27"	"194"	"7"	"5"	"6"	"4"	"9"	"377"	"0"	"377"	"0"
"162"	"147"	"428"	"14"	"7"	"280"	"15"	"11"	"11"	"5"	"26"	"797"	"0"	"797"	"0"
"163"	"148"	"139"	"8"	"29"	"385"	"12"	"10"	"6"	"7"	"22"	"618"	"0"	"618"	"0"
"164"	"149"	"57"	"3"	"9"	"220"	"3"	"8"	"8"	"0"	"8"	"316"	"0"	"316"	"0"
"165"	"150"	"17"	"2"	"1"	"246"	"4"	"9"	"5"	"0"	"8"	"292"	"0"	"292"	"0"
"166"	"151"	"153"	"6"	"24"	"395"	"13"	"7"	"5"	"6"	"9"	"618"	"0"	"618"	"0"
"167"	"152"	"106"	"2"	"33"	"401"	"6"	"8"	"6"	"1"	"14"	"577"	"0"	"577"	"0"
"168"	"153"	"289"	"5"	"23"	"376"	"23"	"14"	"7"	"3"	"16"	"756"	"0"	"756"	"0"
"169"	"154"	"249"	"3"	"28"	"259"	"7"	"7"	"5"	"1"	"10"	"569"	"0"	"569"	"0"
"170"	"155"	"146"	"5"	"7"	"217"	"8"	"3"	"7"	"2"	"11"	"406"	"0"	"406"	"0"
"171"	"156"	"270"	"22"	"37"	"359"	"15"	"14"	"11"	"5"	"32"	"765"	"0"	"765"	"0"
"172"	"157"	"334"	"6"	"24"	"270"	"9"	"6"	"4"	"4"	"8"	"665"	"0"	"665"	"0"
"173"	"158"	"257"	"8"	"122"	"302"	"19"	"10"	"10"	"19"	"14"	"761"	"0"	"761"	"0"
"174"	"159"	"259"	"0"	"29"	"207"	"10"	"11"	"11"	"9"	"35"	"571"	"0"	"571"	"0"
"175"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"176"	""	"ANANT KUMAR SINGH"	"PRADEEP KUMAR"	"SHYAM SUNDAR SINGH"	"SONAM DEVI"	"RAMDAYA L MAHTO"	"GOPAL PRASAD PASWAN"	"BIJENDRA KUMAR"	"MITHLESH YADAV"	"SRI SANJAY SINGH"	""	""	""	""
"177"	"160"	"265"	"3"	"266"	"224"	"3"	"6"	"17"	"3"	"9"	"796"	"0"	"796"	"0"
"178"	"161"	"229"	"7"	"371"	"241"	"14"	"14"	"14"	"3"	"17"	"910"	"0"	"910"	"0"
"179"	"162"	"192"	"7"	"195"	"279"	"11"	"9"	"9"	"3"	"9"	"714"	"0"	"714"	"0"
"180"	"163"	"476"	"17"	"158"	"152"	"26"	"22"	"20"	"12"	"36"	"919"	"0"	"919"	"0"
"181"	"164"	"207"	"4"	"193"	"123"	"9"	"8"	"10"	"8"	"21"	"583"	"0"	"583"	"0"
"182"	"165"	"226"	"3"	"189"	"160"	"4"	"2"	"7"	"0"	"6"	"597"	"0"	"597"	"0"
"183"	"166"	"31"	"2"	"8"	"58"	"228"	"6"	"8"	"8"	"18"	"367"	"0"	"367"	"0"
"184"	"167"	"32"	"3"	"5"	"153"	"224"	"13"	"22"	"6"	"11"	"469"	"0"	"469"	"0"
"185"	"168"	"12"	"2"	"14"	"49"	"138"	"2"	"5"	"2"	"1"	"225"	"0"	"225"	"0"
"186"	"169"	"345"	"6"	"42"	"309"	"8"	"12"	"7"	"0"	"7"	"736"	"0"	"736"	"0"
"187"	"170"	"190"	"7"	"6"	"54"	"7"	"6"	"4"	"3"	"10"	"287"	"0"	"287"	"0"
"188"	"171"	"275"	"4"	"8"	"123"	"8"	"6"	"1"	"2"	"10"	"437"	"0"	"437"	"0"
"189"	"172"	"390"	"6"	"65"	"299"	"16"	"8"	"5"	"3"	"11"	"803"	"0"	"803"	"0"
"190"	"173"	"315"	"4"	"11"	"205"	"5"	"8"	"4"	"5"	"24"	"581"	"0"	"581"	"0"
"191"	"174"	"360"	"4"	"15"	"414"	"8"	"7"	"10"	"3"	"51"	"872"	"0"	"872"	"0"
"192"	"175"	"330"	"1"	"15"	"334"	"12"	"9"	"1"	"3"	"7"	"712"	"0"	"712"	"0"
"193"	"176"	"468"	"9"	"9"	"105"	"18"	"3"	"4"	"11"	"20"	"647"	"0"	"647"	"0"
"194"	"177"	"257"	"3"	"13"	"165"	"10"	"6"	"4"	"2"	"26"	"486"	"0"	"486"	"0"
"195"	"178"	"547"	"3"	"41"	"182"	"9"	"8"	"3"	"4"	"44"	"841"	"0"	"841"	"0"
"196"	"179"	"282"	"4"	"9"	"130"	"11"	"15"	"4"	"5"	"37"	"497"	"0"	"497"	"0"
"197"	"180"	"365"	"1"	"6"	"67"	"4"	"1"	"0"	"3"	"10"	"457"	"0"	"457"	"0"
"198"	"181"	"290"	"3"	"34"	"262"	"7"	"4"	"4"	"2"	"53"	"659"	"0"	"659"	"0"
"199"	"182"	"128"	"8"	"5"	"181"	"12"	"13"	"6"	"60"	"24"	"437"	"0"	"437"	"0"
"200"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"201"	""	"ANANT KUMAR SINGH"	"PRADEEP KUMAR"	"SHYAM SUNDAR SINGH"	"SONAM DEVI"	"RAMDAYA L MAHTO"	"GOPAL PRASAD PASWAN"	"BIJENDRA KUMAR"	"MITHLESH YADAV"	"SRI SANJAY SINGH"	""	""	""	""
"202"	"183"	"86"	"2"	"7"	"175"	"21"	"16"	"10"	"112"	"24"	"453"	"0"	"453"	"0"
"203"	"184"	"227"	"66"	"7"	"82"	"23"	"12"	"5"	"40"	"18"	"480"	"0"	"480"	"0"
"204"	"185"	"89"	"86"	"8"	"177"	"7"	"2"	"7"	"51"	"7"	"434"	"0"	"434"	"0"
"205"	"186"	"234"	"6"	"4"	"186"	"4"	"5"	"1"	"0"	"9"	"449"	"0"	"449"	"0"
"206"	"187"	"241"	"32"	"5"	"143"	"2"	"4"	"4"	"6"	"3"	"440"	"0"	"440"	"0"
"207"	"188"	"59"	"32"	"6"	"55"	"8"	"19"	"12"	"624"	"67"	"882"	"0"	"882"	"0"
"208"	"189"	"109"	"31"	"9"	"56"	"13"	"38"	"20"	"495"	"55"	"826"	"0"	"826"	"0"
"209"	"190"	"97"	"18"	"17"	"143"	"20"	"29"	"17"	"287"	"57"	"685"	"0"	"685"	"0"
"210"	"191"	"407"	"116"	"3"	"108"	"5"	"2"	"5"	"8"	"9"	"663"	"0"	"663"	"0"
"211"	"192"	"148"	"63"	"3"	"140"	"22"	"16"	"19"	"357"	"26"	"794"	"0"	"794"	"0"
