"Candidates.Name.."	"Arjun.Roy"	"Maya.Shankar.Sharan"	"Samir.Kumar.Mahas.eth"	"Sitaram.Yadav"	"S..Abu.Daujan.a"	"Chitara.njan.Giri"	"Mohammad.Afzal.Painther"	"Shankar.Sinha"	"Chandrik.a.Prasad"	"Zahid"	"Dinesh.Prasad"	"Pappu.Kumar.Mishra"	"Mukesh.Kumar.Gupta"	"Total"
"1"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	">"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"38"	"35"	"320"	"6"	"96"	"30"	"15"	"0"	"0"	"11"	"1"	"1"	"1"	"1"	"5"	"487"
"39"	"36"	"299"	"7"	"26"	"21"	"1"	"2"	"1"	"5"	"3"	"0"	"0"	"1"	"0"	"366"
"40"	"37"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"41"	"38"	"350"	"1"	"14"	"137"	"5"	"3"	"1"	"25"	"5"	"5"	"2"	"3"	"4"	"555"
"42"	"39"	"291"	"7"	"135"	"118"	"4"	"4"	"3"	"18"	"1"	"2"	"7"	"3"	"1"	"594"
"43"	"40"	"334"	"8"	"44"	"52"	"4"	"4"	"2"	"16"	"8"	"1"	"0"	"1"	"0"	"474"
"44"	"41"	"203"	"11"	"56"	"69"	"10"	"1"	"4"	"9"	"2"	"0"	"1"	"0"	"1"	"367"
"45"	"42"	"198"	"17"	"29"	"193"	"11"	"0"	"4"	"16"	"1"	"6"	"2"	"0"	"1"	"478"
"46"	"43"	"97"	"4"	"10"	"290"	"2"	"1"	"1"	"2"	"1"	"2"	"1"	"1"	"1"	"413"
"47"	"44"	"377"	"9"	"82"	"48"	"1"	"0"	"6"	"14"	"2"	"0"	"2"	"3"	"1"	"545"
"48"	"45"	"342"	"6"	"27"	"82"	"7"	"0"	"1"	"8"	"1"	"1"	"0"	"1"	"6"	"482"
"49"	"46"	"312"	"2"	"10"	"12"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"338"
"50"	"47"	"95"	"7"	"6"	"261"	"9"	"7"	"2"	"3"	"1"	"1"	"4"	"3"	"5"	"404"
"51"	"48"	"158"	"10"	"133"	"148"	"5"	"2"	"0"	"3"	"1"	"0"	"0"	"0"	"1"	"461"
"52"	"49"	"233"	"8"	"28"	"63"	"5"	"0"	"4"	"7"	"1"	"0"	"1"	"1"	"2"	"353"
"53"	"50"	"425"	"4"	"59"	"109"	"6"	"1"	"4"	"19"	"2"	"6"	"4"	"5"	"4"	"648"
"54"	"Candidates Name >"	"Arjun Roy"	"Maya Shankar Sharan"	"Samir Kumar Mahas eth"	"Sitaram Yadav"	"S. Abu Daujan
a"	"Chitara njan Giri"	"Mohammad Afzal Painther"	"Shankar Sinha"	"Chandrik a Prasad"	"Zahid"	"Dinesh Prasad"	"Pappu Kumar Mishra"	"Mukesh Kumar Gupta"	"Total"
"55"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"56"	">"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"57"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"58"	"51"	"327"	"11"	"29"	"128"	"9"	"3"	"8"	"20"	"1"	"5"	"6"	"2"	"4"	"553"
"59"	"52"	"224"	"10"	"59"	"244"	"18"	"6"	"7"	"18"	"9"	"1"	"4"	"3"	"12"	"615"
"60"	"53"	"165"	"0"	"52"	"137"	"5"	"2"	"3"	"8"	"2"	"2"	"2"	"5"	"2"	"385"
"61"	"54"	"226"	"5"	"39"	"118"	"8"	"1"	"2"	"4"	"3"	"4"	"7"	"4"	"5"	"426"
"62"	"55"	"104"	"9"	"56"	"134"	"52"	"2"	"1"	"10"	"2"	"2"	"5"	"2"	"2"	"381"
"63"	"56"	"21"	"5"	"264"	"99"	"3"	"4"	"2"	"1"	"1"	"3"	"2"	"2"	"4"	"411"
"64"	"57"	"293"	"7"	"109"	"63"	"10"	"1"	"1"	"6"	"0"	"3"	"0"	"1"	"0"	"494"
"65"	"58"	"353"	"5"	"41"	"31"	"2"	"0"	"2"	"12"	"0"	"1"	"0"	"0"	"0"	"447"
"66"	"59"	"447"	"22"	"37"	"22"	"0"	"0"	"3"	"7"	"3"	"2"	"3"	"2"	"1"	"549"
"67"	"60"	"174"	"2"	"12"	"34"	"1"	"1"	"2"	"7"	"1"	"2"	"1"	"1"	"1"	"239"
"68"	"61"	"233"	"2"	"5"	"181"	"5"	"1"	"1"	"2"	"1"	"0"	"0"	"0"	"2"	"433"
"69"	"62"	"283"	"18"	"19"	"139"	"4"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"0"	"471"
"70"	"63"	"196"	"5"	"7"	"151"	"5"	"1"	"0"	"4"	"0"	"1"	"0"	"2"	"3"	"375"
"71"	"64"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"72"	"65"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"73"	"66"	"157"	"20"	"235"	"26"	"19"	"5"	"6"	"7"	"5"	"2"	"6"	"7"	"4"	"499"
"74"	"67"	"124"	"2"	"62"	"239"	"13"	"1"	"3"	"5"	"3"	"1"	"1"	"0"	"2"	"456"
"75"	"68"	"265"	"4"	"68"	"9"	"2"	"1"	"2"	"8"	"1"	"0"	"0"	"0"	"1"	"361"
"76"	"69"	"40"	"3"	"221"	"53"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"320"
"77"	"70"	"388"	"11"	"91"	"13"	"0"	"0"	"2"	"5"	"1"	"0"	"1"	"1"	"1"	"514"
"78"	"71"	"227"	"5"	"118"	"25"	"2"	"2"	"2"	"13"	"2"	"1"	"3"	"0"	"2"	"402"
"79"	"72"	"221"	"6"	"55"	"44"	"4"	"0"	"6"	"11"	"0"	"1"	"1"	"1"	"0"	"350"
"80"	"73"	"240"	"37"	"50"	"60"	"2"	"2"	"4"	"14"	"5"	"3"	"3"	"2"	"1"	"423"
"81"	"74"	"196"	"2"	"52"	"27"	"1"	"2"	"0"	"11"	"1"	"0"	"2"	"0"	"3"	"297"
"82"	"75"	"12"	"9"	"192"	"111"	"8"	"1"	"3"	"6"	"1"	"0"	"2"	"1"	"1"	"347"
"83"	"76"	"52"	"2"	"161"	"66"	"43"	"2"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"330"
"84"	"77"	"164"	"1"	"13"	"100"	"6"	"5"	"1"	"3"	"0"	"1"	"1"	"2"	"0"	"297"
"85"	"78"	"193"	"1"	"34"	"55"	"2"	"0"	"2"	"3"	"0"	"1"	"0"	"1"	"0"	"292"
"86"	"79"	"8"	"2"	"39"	"112"	"17"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"180"
"87"	"80"	"375"	"0"	"0"	"2"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"380"
"88"	"81"	"26"	"2"	"34"	"61"	"88"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"215"
"89"	"82"	"193"	"8"	"55"	"95"	"85"	"5"	"5"	"9"	"2"	"0"	"2"	"2"	"0"	"461"
"90"	"83"	"294"	"17"	"40"	"53"	"2"	"4"	"0"	"7"	"0"	"0"	"2"	"1"	"6"	"426"
"91"	"84"	"175"	"4"	"96"	"62"	"7"	"1"	"2"	"10"	"4"	"1"	"3"	"2"	"1"	"368"
"92"	"85"	"155"	"4"	"60"	"70"	"7"	"1"	"2"	"8"	"2"	"3"	"0"	"2"	"0"	"314"
"93"	"86"	"72"	"0"	"128"	"56"	"1"	"0"	"2"	"4"	"0"	"2"	"3"	"0"	"1"	"269"
"94"	"87"	"142"	"5"	"118"	"96"	"7"	"3"	"4"	"9"	"1"	"2"	"5"	"5"	"2"	"399"
"95"	"88"	"251"	"9"	"58"	"41"	"4"	"2"	"6"	"17"	"3"	"4"	"2"	"3"	"2"	"402"
"96"	"89"	"112"	"23"	"111"	"108"	"16"	"1"	"4"	"5"	"0"	"1"	"0"	"0"	"1"	"382"
"97"	"90"	"314"	"6"	"8"	"41"	"39"	"1"	"3"	"12"	"4"	"0"	"3"	"2"	"2"	"435"
"98"	"91"	"168"	"0"	"42"	"9"	"35"	"2"	"1"	"5"	"4"	"1"	"3"	"0"	"4"	"274"
"99"	"92"	"203"	"8"	"49"	"15"	"5"	"1"	"4"	"13"	"4"	"1"	"3"	"2"	"7"	"315"
"100"	"93"	"30"	"2"	"5"	"5"	"185"	"1"	"0"	"6"	"0"	"2"	"1"	"5"	"0"	"242"
"101"	"94"	"161"	"5"	"174"	"61"	"10"	"1"	"2"	"11"	"4"	"3"	"2"	"1"	"3"	"438"
"102"	"95"	"28"	"6"	"110"	"44"	"105"	"4"	"5"	"5"	"5"	"15"	"2"	"10"	"6"	"345"
"103"	"96"	"51"	"4"	"70"	"69"	"5"	"0"	"1"	"5"	"1"	"2"	"2"	"2"	"1"	"213"
"104"	"97"	"15"	"1"	"76"	"80"	"14"	"0"	"2"	"2"	"0"	"0"	"1"	"1"	"3"	"195"
"105"	"98"	"76"	"1"	"49"	"65"	"39"	"2"	"1"	"3"	"0"	"1"	"0"	"3"	"1"	"241"
"106"	"99"	"12"	"5"	"92"	"86"	"86"	"5"	"2"	"6"	"1"	"6"	"3"	"6"	"7"	"317"
"107"	"100"	"27"	"4"	"135"	"32"	"91"	"2"	"1"	"2"	"1"	"2"	"0"	"4"	"4"	"305"
"108"	"Candidates Name >"	"Arjun Roy"	"Maya Shankar Sharan"	"Samir Kumar Mahas eth"	"Sitaram Yadav"	"S. Abu Daujan
a"	"Chitara njan Giri"	"Mohammad Afzal Painther"	"Shankar Sinha"	"Chandrik a Prasad"	"Zahid"	"Dinesh Prasad"	"Pappu Kumar Mishra"	"Mukesh Kumar Gupta"	"Total"
"109"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"110"	">"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"111"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"112"	"101"	"116"	"5"	"105"	"10"	"7"	"2"	"2"	"9"	"5"	"2"	"2"	"0"	"0"	"265"
"113"	"102"	"184"	"8"	"185"	"57"	"4"	"1"	"1"	"8"	"3"	"0"	"0"	"1"	"3"	"455"
"114"	"103"	"226"	"3"	"60"	"10"	"0"	"0"	"1"	"10"	"4"	"2"	"3"	"1"	"2"	"322"
"115"	"104"	"124"	"5"	"61"	"23"	"4"	"1"	"1"	"6"	"2"	"2"	"1"	"0"	"2"	"232"
"116"	"105"	"55"	"2"	"167"	"75"	"7"	"2"	"0"	"3"	"1"	"3"	"1"	"1"	"1"	"318"
"117"	"106"	"96"	"7"	"103"	"48"	"4"	"0"	"1"	"11"	"1"	"1"	"1"	"1"	"1"	"275"
"118"	"107"	"144"	"2"	"89"	"6"	"0"	"0"	"0"	"3"	"2"	"1"	"1"	"0"	"0"	"248"
"119"	"108"	"80"	"3"	"189"	"37"	"8"	"1"	"0"	"2"	"0"	"0"	"0"	"1"	"0"	"321"
"120"	"109"	"365"	"18"	"97"	"62"	"1"	"0"	"6"	"7"	"3"	"3"	"0"	"0"	"0"	"562"
"121"	"110"	"194"	"6"	"94"	"37"	"6"	"9"	"7"	"22"	"3"	"1"	"5"	"7"	"0"	"391"
"122"	"111"	"30"	"16"	"304"	"48"	"13"	"0"	"4"	"4"	"2"	"2"	"1"	"0"	"0"	"424"
"123"	"112"	"32"	"10"	"335"	"41"	"16"	"4"	"1"	"6"	"0"	"3"	"2"	"2"	"1"	"453"
"124"	"113"	"130"	"3"	"52"	"35"	"1"	"2"	"0"	"15"	"2"	"2"	"2"	"0"	"0"	"244"
"125"	"114"	"87"	"10"	"143"	"41"	"6"	"2"	"4"	"8"	"5"	"2"	"5"	"5"	"0"	"318"
"126"	"115"	"80"	"11"	"219"	"143"	"3"	"1"	"3"	"5"	"2"	"3"	"1"	"2"	"7"	"480"
"127"	"116"	"198"	"4"	"29"	"352"	"7"	"5"	"1"	"10"	"2"	"1"	"2"	"1"	"5"	"617"
"128"	"117"	"281"	"9"	"171"	"20"	"1"	"1"	"3"	"6"	"4"	"1"	"2"	"0"	"2"	"501"
"129"	"118"	"319"	"3"	"51"	"86"	"3"	"1"	"1"	"10"	"3"	"2"	"1"	"1"	"3"	"484"
"130"	"119"	"168"	"2"	"44"	"127"	"2"	"1"	"4"	"5"	"3"	"3"	"0"	"4"	"3"	"366"
"131"	"120"	"203"	"5"	"35"	"105"	"5"	"0"	"1"	"11"	"1"	"0"	"1"	"1"	"0"	"368"
"132"	"121"	"109"	"4"	"45"	"256"	"13"	"2"	"6"	"6"	"3"	"3"	"6"	"2"	"10"	"465"
"133"	"122"	"160"	"0"	"10"	"122"	"3"	"0"	"0"	"3"	"0"	"3"	"0"	"0"	"1"	"302"
"134"	"123"	"213"	"63"	"134"	"81"	"4"	"0"	"3"	"2"	"0"	"2"	"0"	"0"	"1"	"503"
"135"	"124"	"240"	"2"	"40"	"138"	"11"	"1"	"2"	"16"	"2"	"1"	"6"	"3"	"5"	"467"
"136"	"125"	"29"	"4"	"318"	"149"	"2"	"1"	"1"	"0"	"3"	"2"	"1"	"0"	"1"	"511"
"137"	"126"	"9"	"2"	"276"	"65"	"3"	"0"	"2"	"2"	"1"	"0"	"1"	"1"	"2"	"364"
"138"	"127"	"403"	"5"	"52"	"62"	"16"	"2"	"4"	"12"	"2"	"4"	"0"	"1"	"2"	"565"
"139"	"128"	"442"	"7"	"32"	"71"	"123"	"5"	"5"	"12"	"2"	"1"	"0"	"3"	"2"	"705"
"140"	"129"	"387"	"15"	"61"	"33"	"3"	"4"	"4"	"7"	"2"	"0"	"1"	"0"	"0"	"517"
"141"	"130"	"22"	"0"	"44"	"84"	"4"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"158"
"142"	"131"	"139"	"6"	"57"	"83"	"24"	"2"	"0"	"6"	"1"	"0"	"5"	"4"	"6"	"333"
"143"	"132"	"133"	"6"	"59"	"56"	"5"	"0"	"4"	"6"	"1"	"4"	"1"	"5"	"8"	"288"
"144"	"133"	"279"	"5"	"80"	"65"	"6"	"2"	"6"	"19"	"3"	"2"	"1"	"4"	"2"	"474"
"145"	"134"	"338"	"2"	"73"	"60"	"16"	"2"	"3"	"16"	"3"	"0"	"3"	"2"	"1"	"519"
"146"	"135"	"148"	"5"	"38"	"55"	"53"	"1"	"3"	"9"	"3"	"2"	"2"	"4"	"2"	"325"
"147"	"136"	"135"	"4"	"73"	"65"	"24"	"3"	"1"	"7"	"2"	"3"	"2"	"2"	"0"	"321"
"148"	"137"	"45"	"0"	"258"	"72"	"17"	"0"	"2"	"3"	"3"	"4"	"13"	"2"	"4"	"423"
"149"	"138"	"19"	"2"	"174"	"56"	"9"	"1"	"2"	"1"	"1"	"3"	"0"	"3"	"3"	"274"
"150"	"139"	"10"	"2"	"72"	"126"	"73"	"2"	"0"	"1"	"1"	"1"	"1"	"1"	"2"	"292"
"151"	"140"	"25"	"4"	"54"	"79"	"84"	"2"	"1"	"3"	"1"	"3"	"3"	"5"	"8"	"272"
"152"	"141"	"141"	"2"	"19"	"72"	"116"	"9"	"2"	"3"	"1"	"5"	"0"	"5"	"1"	"376"
"153"	"142"	"183"	"3"	"116"	"46"	"3"	"2"	"4"	"9"	"5"	"1"	"2"	"3"	"2"	"379"
"154"	"143"	"20"	"0"	"228"	"11"	"11"	"1"	"0"	"1"	"1"	"1"	"0"	"3"	"3"	"280"
"155"	"144"	"135"	"7"	"202"	"55"	"76"	"5"	"1"	"5"	"2"	"5"	"7"	"8"	"4"	"512"
"156"	"145"	"101"	"3"	"12"	"121"	"125"	"6"	"4"	"5"	"2"	"3"	"0"	"5"	"1"	"388"
"157"	"146"	"73"	"4"	"219"	"40"	"30"	"4"	"2"	"7"	"3"	"2"	"2"	"5"	"0"	"391"
"158"	"147"	"61"	"7"	"138"	"42"	"97"	"11"	"1"	"5"	"5"	"5"	"4"	"12"	"5"	"393"
"159"	"148"	"5"	"0"	"75"	"122"	"8"	"0"	"2"	"5"	"0"	"0"	"0"	"1"	"2"	"220"
"160"	"149"	"22"	"0"	"144"	"41"	"86"	"3"	"0"	"5"	"0"	"1"	"2"	"2"	"2"	"308"
"161"	"150"	"231"	"21"	"143"	"90"	"2"	"1"	"0"	"8"	"0"	"2"	"0"	"4"	"3"	"505"
"162"	"Candidates Name >"	"Arjun Roy"	"Maya Shankar Sharan"	"Samir Kumar Mahas eth"	"Sitaram Yadav"	"S. Abu Daujan
a"	"Chitara njan Giri"	"Mohammad Afzal Painther"	"Shankar Sinha"	"Chandrik a Prasad"	"Zahid"	"Dinesh Prasad"	"Pappu Kumar Mishra"	"Mukesh Kumar Gupta"	"Total"
"163"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"164"	">"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"165"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"166"	"151"	"214"	"10"	"54"	"111"	"10"	"2"	"4"	"8"	"5"	"0"	"3"	"5"	"5"	"431"
"167"	"152"	"21"	"2"	"115"	"55"	"9"	"0"	"1"	"2"	"2"	"0"	"1"	"1"	"1"	"210"
"168"	"153"	"100"	"24"	"147"	"80"	"8"	"5"	"3"	"13"	"5"	"3"	"3"	"4"	"2"	"397"
"169"	"154"	"249"	"3"	"37"	"45"	"7"	"2"	"3"	"11"	"1"	"1"	"0"	"34"	"2"	"395"
"170"	"155"	"83"	"4"	"229"	"74"	"10"	"1"	"1"	"2"	"1"	"5"	"6"	"4"	"5"	"425"
"171"	"156"	"195"	"2"	"5"	"54"	"117"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"376"
"172"	"157"	"96"	"14"	"224"	"113"	"6"	"3"	"0"	"6"	"2"	"3"	"1"	"2"	"2"	"472"
"173"	"158"	"77"	"4"	"205"	"77"	"4"	"0"	"2"	"5"	"1"	"0"	"0"	"2"	"0"	"377"
"174"	"159"	"103"	"4"	"68"	"187"	"15"	"1"	"3"	"4"	"4"	"3"	"2"	"0"	"5"	"399"
"175"	"160"	"86"	"6"	"195"	"38"	"5"	"1"	"4"	"2"	"1"	"1"	"4"	"3"	"3"	"349"
"176"	"161"	"294"	"17"	"58"	"221"	"7"	"3"	"4"	"19"	"3"	"4"	"0"	"0"	"3"	"633"
"177"	"162"	"59"	"2"	"316"	"55"	"3"	"1"	"4"	"7"	"1"	"3"	"2"	"0"	"4"	"457"
"178"	"163"	"37"	"8"	"289"	"61"	"12"	"3"	"4"	"3"	"2"	"1"	"4"	"2"	"3"	"429"
"179"	"164"	"50"	"5"	"201"	"93"	"12"	"3"	"1"	"7"	"3"	"5"	"3"	"1"	"5"	"389"
"180"	"165"	"311"	"32"	"79"	"114"	"6"	"4"	"8"	"21"	"7"	"5"	"1"	"2"	"6"	"596"
"181"	"166"	"16"	"4"	"226"	"87"	"19"	"3"	"2"	"1"	"4"	"4"	"7"	"0"	"10"	"383"
"182"	"167"	"21"	"2"	"217"	"31"	"3"	"0"	"1"	"2"	"0"	"1"	"0"	"1"	"2"	"281"
"183"	"168"	"88"	"23"	"77"	"118"	"6"	"6"	"5"	"7"	"2"	"2"	"0"	"0"	"2"	"336"
"184"	"169"	"205"	"5"	"55"	"118"	"19"	"0"	"4"	"9"	"0"	"1"	"2"	"1"	"2"	"421"
"185"	"170"	"111"	"7"	"124"	"174"	"12"	"4"	"6"	"21"	"4"	"6"	"3"	"2"	"6"	"480"
"186"	"171"	"69"	"6"	"192"	"90"	"2"	"0"	"0"	"7"	"2"	"2"	"3"	"0"	"4"	"377"
"187"	"172"	"262"	"15"	"165"	"35"	"3"	"2"	"2"	"17"	"4"	"1"	"5"	"0"	"1"	"512"
"188"	"173"	"213"	"10"	"86"	"144"	"10"	"5"	"15"	"20"	"7"	"4"	"3"	"4"	"0"	"521"
"189"	"174"	"236"	"5"	"50"	"139"	"4"	"4"	"5"	"9"	"3"	"2"	"2"	"2"	"1"	"462"
"190"	"175"	"159"	"3"	"36"	"248"	"17"	"4"	"3"	"9"	"2"	"2"	"1"	"4"	"2"	"490"
"191"	"176"	"137"	"1"	"31"	"36"	"3"	"0"	"0"	"3"	"0"	"0"	"1"	"1"	"3"	"216"
"192"	"177"	"410"	"9"	"29"	"16"	"3"	"3"	"9"	"11"	"5"	"1"	"1"	"1"	"1"	"499"
"193"	"178"	"34"	"2"	"34"	"141"	"6"	"2"	"2"	"7"	"0"	"3"	"2"	"1"	"6"	"240"
"194"	"179"	"10"	"0"	"3"	"301"	"5"	"0"	"2"	"2"	"0"	"1"	"0"	"3"	"4"	"331"
"195"	"180"	"24"	"2"	"57"	"494"	"7"	"1"	"1"	"1"	"0"	"2"	"0"	"0"	"0"	"589"
"196"	"181"	"13"	"2"	"11"	"555"	"10"	"1"	"1"	"1"	"1"	"0"	"1"	"2"	"6"	"604"
"197"	"182"	"26"	"3"	"13"	"402"	"3"	"0"	"0"	"1"	"1"	"2"	"1"	"0"	"1"	"453"
"198"	"183"	"233"	"5"	"119"	"53"	"1"	"0"	"4"	"6"	"5"	"3"	"0"	"2"	"2"	"433"
"199"	"184"	"178"	"7"	"17"	"88"	"1"	"0"	"0"	"2"	"1"	"1"	"0"	"0"	"1"	"296"
"200"	"185"	"96"	"2"	"94"	"44"	"1"	"0"	"1"	"3"	"0"	"0"	"5"	"0"	"5"	"251"
"201"	"186"	"162"	"14"	"179"	"22"	"0"	"0"	"2"	"5"	"1"	"0"	"1"	"3"	"2"	"391"
"202"	"187"	"97"	"29"	"63"	"98"	"3"	"1"	"4"	"6"	"0"	"2"	"5"	"4"	"2"	"314"
"203"	"188"	"156"	"12"	"202"	"114"	"2"	"1"	"2"	"10"	"0"	"2"	"3"	"1"	"1"	"506"
"204"	"189"	"53"	"6"	"60"	"376"	"18"	"0"	"2"	"1"	"1"	"2"	"1"	"3"	"4"	"527"
"205"	"190"	"36"	"5"	"362"	"201"	"5"	"1"	"2"	"1"	"2"	"2"	"0"	"2"	"1"	"620"
"206"	"191"	"176"	"5"	"25"	"75"	"4"	"1"	"0"	"4"	"1"	"3"	"3"	"1"	"1"	"299"
"207"	"192"	"75"	"5"	"90"	"76"	"6"	"3"	"2"	"1"	"3"	"1"	"0"	"2"	"5"	"269"
"208"	"193"	"266"	"1"	"7"	"67"	"1"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"346"
