"A_CODE"	"BOOTH_NO"	"Kalawati.Devi"	"Ramji.Manjhi"	"Sanjiv.Prasad.Toni"	"Hari.Manjhi"	"Dilip.Paswan"	"Niranjan.Kumar"	"Rajesh.Kumar"	"Ramdev.Arya.Paan"	"Amarnath.prasad"	"Krishna.Choudhary"	"Kail.Das"	"Deepak.Paswan"	"Ramkisho.re.Paswan"	"Ramu.Paswan"	"Shiv.Shankar.Kumar"	"Shyamlal.Manjhi"	"TOTAL.Votes"
"73"	228	72	15	221	16	172	7	6	8	1	4	10	5	8	9	11	8	15	516
"74"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"75"	228	73	3	41	40	520	3	0	0	0	0	0	0	0	0	1	0	0	608
"76"	228	74	16	532	9	23	0	0	1	0	1	1	1	1	1	0	2	1	589
"77"	228	75	1	74	12	99	4	2	1	2	1	2	3	2	5	6	1	10	225
"78"	228	76	27	195	3	4	1	0	1	0	1	0	1	0	0	0	1	0	234
"79"	228	77	59	82	15	237	18	5	3	6	7	3	4	5	14	8	5	12	483
"80"	228	78	22	82	30	51	3	2	1	3	0	1	1	3	2	0	1	1	203
"81"	228	79	8	64	18	324	3	2	18	1	2	2	3	1	5	4	2	3	460
"82"	228	80	18	243	32	180	13	4	4	7	6	5	3	1	3	6	9	6	540
"83"	228	81	15	98	44	194	11	23	8	3	9	5	7	5	7	4	7	9	449
"84"	228	82	3	97	13	49	2	0	2	1	0	1	1	0	0	5	0	0	174
"85"	228	83	19	25	64	166	10	55	15	2	2	4	1	0	0	1	2	0	366
"86"	228	84	7	103	16	100	2	31	3	1	1	3	2	3	3	4	6	2	287
"87"	228	85	62	74	1	90	2	1	1	0	0	0	0	2	2	1	3	1	240
"88"	228	86	5	76	12	98	8	6	3	2	2	1	0	0	0	0	1	1	215
"89"	228	87	1	394	2	56	1	1	1	1	0	0	0	1	0	1	0	0	459
"90"	228	88	114	65	5	59	3	1	0	2	1	0	3	1	0	2	0	2	258
"91"	228	89	24	159	14	158	12	0	0	1	3	4	7	4	4	10	8	10	418
"92"	228	90	6	143	25	104	6	2	0	1	3	1	2	1	2	0	1	4	301
"93"	228	91	14	342	25	127	7	1	3	1	3	4	6	1	3	1	1	7	546
"94"	228	92	24	103	17	250	10	1	3	1	5	3	4	6	6	5	8	13	459
"95"	228	93	61	168	12	219	6	2	5	4	4	2	4	1	4	10	2	6	510
"96"	228	94	5	43	17	225	5	1	1	2	1	3	4	6	2	8	4	12	339
"97"	228	95	23	159	54	221	18	0	6	4	7	8	6	5	4	2	5	3	525
"98"	228	96	10	506	27	83	4	1	2	2	0	1	2	1	0	0	0	2	641
"99"	228	97	8	229	14	228	10	4	3	1	3	3	3	2	2	5	2	8	525
"100"	228	98	0	414	3	4	0	0	0	0	0	0	0	0	0	0	0	0	421
"101"	228	99	2	96	0	21	2	0	6	0	0	2	1	1	3	0	2	5	141
"102"	228	100	2	86	13	288	5	2	1	0	0	0	0	2	0	2	2	6	409
"103"	228	101	10	38	12	114	4	0	1	0	2	0	1	3	11	0	3	3	202
"104"	228	102	12	65	10	139	4	4	4	1	1	2	1	0	1	0	1	1	246
"105"	228	103	15	46	5	243	2	5	3	0	1	2	1	2	3	0	2	2	332
"106"	228	104	10	49	17	158	10	4	32	6	1	1	1	3	2	0	4	2	300
"107"	228	105	2	114	21	159	6	2	2	1	2	0	1	0	3	2	1	4	320
"108"	228	106	21	22	33	319	8	9	98	2	2	2	4	3	9	7	3	8	550
"109"	228	107	36	133	48	218	2	1	14	1	3	0	1	3	1	3	3	3	470
"110"	228	108	24	70	10	146	9	2	2	0	3	0	1	1	9	4	2	4	287
"111"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"112"	228	109	43	137	21	54	6	1	0	3	4	3	8	2	8	2	4	11	307
"113"	228	110	10	76	20	196	8	6	3	2	1	3	2	5	0	2	1	0	335
"114"	228	111	25	39	9	212	2	1	0	0	3	0	3	4	3	4	3	6	314
"115"	228	112	11	180	12	36	2	0	0	4	2	6	10	4	9	7	18	10	311
"116"	228	113	7	40	8	248	6	0	0	1	4	4	3	3	7	3	2	12	348
"117"	228	114	32	26	5	231	3	0	1	2	2	1	0	0	3	3	3	5	317
"118"	228	115	10	139	8	145	11	1	2	4	3	3	4	2	7	5	6	8	358
"119"	228	116	1	257	10	74	3	1	0	1	0	0	1	0	0	0	1	2	351
"120"	228	117	28	252	16	199	22	7	5	3	3	5	3	1	6	5	2	4	561
"121"	228	118	18	156	18	103	4	2	1	0	0	0	0	1	1	3	1	10	318
"122"	228	119	6	19	9	107	5	0	1	1	1	0	0	3	12	2	1	4	171
"123"	228	120	7	164	11	271	16	3	6	3	4	4	11	5	21	4	3	10	543
"124"	228	121	93	30	17	298	16	6	1	5	4	1	3	2	11	5	3	12	507
"125"	228	122	1	14	26	416	5	0	0	0	0	0	0	0	0	0	0	0	462
"126"	228	123	14	132	19	276	12	1	3	1	0	1	1	0	1	0	2	1	464
"127"	228	124	15	123	26	164	14	2	5	2	6	1	8	5	11	5	4	7	398
"128"	228	125	1	82	4	10	0	0	1	0	0	0	0	0	0	1	1	1	101
"129"	228	126	35	185	25	118	4	3	6	5	1	9	13	8	6	10	14	13	455
"130"	228	127	21	49	47	120	8	1	5	2	1	0	2	0	2	5	0	3	266
"131"	228	128	7	88	14	198	6	1	4	2	2	2	9	4	12	5	3	10	367
"132"	228	129	19	27	126	321	8	0	1	3	3	4	3	5	2	6	1	7	536
"133"	228	130	13	55	45	159	5	0	2	7	7	2	4	5	3	10	5	6	328
"134"	228	131	9	99	7	9	0	1	0	3	0	1	1	0	0	0	1	1	132
"135"	228	132	41	115	32	67	8	1	2	6	4	7	8	3	7	4	3	6	314
"136"	228	133	27	454	31	106	7	3	1	1	3	1	0	1	1	1	3	0	640
"137"	228	134	3	35	112	166	5	2	1	3	0	2	1	3	2	4	2	5	346
"138"	228	135	2	191	31	43	1	0	0	1	0	0	1	0	0	0	0	0	270
"139"	228	136	6	14	30	126	5	2	1	0	1	1	1	0	0	1	2	3	193
"140"	228	137	6	80	19	239	16	8	3	5	3	4	8	13	11	19	16	35	485
"141"	228	138	18	80	72	286	21	4	8	6	12	3	9	3	9	4	3	10	548
"142"	228	139	40	50	104	122	6	5	5	1	7	2	5	3	1	5	1	6	363
"143"	228	140	19	63	56	415	13	3	6	3	5	2	3	8	6	4	4	9	619
"144"	228	141	17	60	125	410	14	6	4	3	3	3	0	0	9	0	3	4	661
"145"	228	142	14	47	181	213	11	54	7	1	1	5	0	2	3	2	1	0	542
"146"	228	143	6	113	47	72	6	0	2	1	2	0	1	2	0	2	1	1	256
"147"	228	144	5	78	25	181	10	3	2	4	2	0	0	3	4	3	6	3	329
"148"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"149"	228	145	15	81	54	50	5	3	1	2	2	3	1	2	0	2	3	3	227
"150"	228	146	20	99	19	181	4	2	4	2	1	1	0	0	2	1	1	0	337
"151"	228	147	3	39	105	70	2	0	0	0	0	2	1	3	5	0	1	1	232
"152"	228	148	11	164	242	88	5	2	4	2	0	2	4	2	5	3	4	7	545
"153"	228	149	32	139	47	118	5	2	2	2	6	6	4	4	4	10	2	11	394
"154"	228	150	10	102	29	306	23	5	3	5	5	6	7	6	18	8	7	3	543
"155"	228	151	30	31	94	392	9	59	4	5	1	3	3	6	5	4	12	6	664
"156"	228	152	3	115	44	105	4	8	4	3	3	2	3	3	5	3	3	10	318
"157"	228	153	1	16	2	173	0	7	1	0	0	1	1	0	0	1	2	1	206
"158"	228	154	1	20	30	113	5	8	2	4	0	1	7	3	7	4	3	5	213
"159"	228	155	6	88	36	149	6	24	2	1	6	2	3	5	8	3	4	5	348
"160"	228	156	60	111	72	101	13	10	6	5	3	2	6	1	1	2	1	2	396
"161"	228	157	3	77	27	341	11	5	4	5	1	8	3	4	6	1	2	1	499
"162"	228	158	12	80	13	128	6	1	0	3	3	0	1	1	1	4	1	3	257
"163"	228	159	6	54	15	132	7	2	4	2	1	4	2	3	8	5	1	6	252
"164"	228	160	11	64	2	176	12	3	0	0	3	4	3	6	14	7	2	7	314
"165"	228	161	5	246	3	32	4	0	0	0	0	1	2	2	1	1	4	4	305
"166"	228	162	1	28	8	293	6	2	1	2	1	0	0	0	5	1	1	2	351
"167"	228	163	11	392	18	61	5	1	1	2	1	3	1	3	4	5	1	1	510
"168"	228	164	4	44	37	444	6	1	2	1	3	0	2	4	1	2	1	0	552
"169"	228	165	10	105	99	195	7	2	2	2	2	2	1	2	10	4	6	13	462
"170"	228	166	0	40	10	178	2	0	0	0	0	0	0	0	0	0	0	0	230
"171"	228	167	0	40	21	676	6	2	0	0	2	0	1	2	6	1	1	4	762
"172"	228	168	8	39	113	324	8	2	2	1	3	0	0	1	2	2	1	2	508
"173"	228	169	5	154	27	177	3	0	1	4	0	1	0	1	1	4	1	2	381
"174"	228	170	52	157	14	104	6	1	4	7	2	2	5	2	3	4	6	2	371
"175"	228	171	12	136	16	109	15	1	1	4	2	2	3	2	7	2	0	16	328
"176"	228	172	15	237	18	145	7	1	2	5	5	0	4	1	1	3	3	3	450
"177"	228	173	7	176	5	71	3	0	1	0	0	0	2	0	1	1	2	0	269
"178"	228	174	3	494	1	9	0	0	0	0	0	0	0	0	0	0	0	0	507
"179"	228	175	2	694	3	5	0	4	1	0	0	0	2	0	0	0	0	0	711
"180"	228	176	0	615	1	1	6	0	0	0	1	0	0	0	0	0	0	0	624
"181"	228	177	8	275	7	37	4	4	2	1	1	1	2	0	0	0	0	0	342
"182"	228	178	1	668	12	37	1	2	0	0	1	2	0	0	2	3	0	3	732
"183"	228	179	35	420	11	31	3	3	4	1	3	1	1	3	2	2	3	3	526
"184"	228	180	0	551	1	0	0	0	0	0	0	2	0	1	0	0	0	0	555
"185"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"186"	228	181	1	387	0	7	0	0	0	0	0	0	0	0	0	0	0	0	395
"187"	228	182	1	607	4	6	0	1	0	0	0	0	0	0	0	0	0	0	619
"188"	228	183	7	315	25	57	2	2	0	2	2	0	2	1	2	3	1	5	426
"189"	228	184	5	93	12	122	3	0	0	4	1	7	2	2	5	4	2	0	262
"190"	228	185	23	86	1	94	3	1	0	1	1	0	0	0	0	0	0	0	210
"191"	228	186	9	280	8	87	7	0	4	2	1	1	0	1	0	2	0	0	402
"192"	228	187	7	123	19	117	4	1	3	1	5	9	7	6	7	11	8	16	344
"193"	228	188	11	57	10	58	2	2	1	3	4	4	2	6	3	2	6	13	184
"194"	228	189	18	96	9	85	12	8	6	7	4	3	3	8	7	4	7	6	283
"195"	228	190	0	133	0	14	1	0	0	0	0	0	0	0	1	0	0	0	149
"196"	228	191	4	60	21	42	4	60	1	0	5	0	1	1	2	2	8	4	215
"197"	228	192	1	184	3	20	0	0	0	0	0	0	0	0	1	0	0	0	209
"198"	228	193	24	96	6	79	4	15	0	0	1	0	0	0	0	0	0	2	227
"199"	228	194	12	50	77	310	9	17	7	0	3	3	2	4	2	6	2	6	510
"200"	228	195	5	232	46	20	0	2	1	1	0	1	2	0	0	0	0	2	312
"201"	228	196	7	51	22	197	5	18	1	2	1	2	1	2	5	1	3	2	320
"202"	228	197	22	25	30	96	6	6	1	1	3	0	4	1	2	1	7	6	211
"203"	228	198	2	9	5	403	1	0	1	0	1	0	0	0	1	1	1	0	425
"204"	228	199	9	86	30	94	1	0	2	2	0	0	4	0	4	4	1	1	238
"205"	228	200	10	43	18	201	6	5	2	2	4	3	4	3	9	4	3	16	333
"206"	228	201	14	103	119	86	5	4	1	2	7	6	3	4	10	3	4	1	372
"207"	228	202	3	44	49	165	2	2	1	1	2	1	1	3	1	1	0	5	281
"208"	228	203	12	7	16	117	7	8	3	1	4	2	1	3	3	2	0	0	186
"209"	228	204	0	46	87	62	1	0	0	2	1	1	0	0	2	0	0	1	203
"210"	228	205	8	47	18	352	15	1	2	0	4	6	6	4	10	2	2	6	483
"211"	228	206	11	75	16	109	5	1	1	4	3	2	4	2	5	4	3	8	253
"212"	228	207	6	83	28	218	6	1	2	0	2	0	2	3	6	2	2	3	364
"213"	228	208	10	35	59	307	6	46	5	3	3	1	0	0	1	1	6	7	490
"214"	228	209	18	19	43	246	4	58	7	0	6	2	0	4	2	4	2	4	419
"215"	228	210	8	28	118	165	7	0	3	5	2	0	1	3	2	1	1	1	345
"216"	228	211	11	211	252	66	9	1	0	2	1	1	0	2	1	1	2	0	560
"217"	228	212	15	84	75	246	3	2	4	1	1	1	2	1	3	0	1	2	441
"218"	228	213	7	54	23	452	13	7	4	5	8	4	6	1	8	7	11	15	625
"219"	228	214	12	150	18	131	5	8	3	2	4	2	2	2	4	1	3	8	355
"220"	228	215	8	23	20	76	5	3	5	2	2	3	1	4	6	1	4	4	167
"221"	228	216	2	129	14	42	3	0	2	0	1	0	1	1	1	0	2	2	200
"222"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"223"	228	217	7	38	58	48	3	0	1	1	2	1	2	1	3	0	0	0	165
"224"	228	218	5	65	89	114	10	3	2	5	4	5	7	7	4	5	1	9	335
"225"	228	219	28	77	19	292	8	1	2	3	6	0	4	0	4	0	2	3	449
"226"	228	220	22	191	13	193	10	4	1	2	4	3	1	3	3	11	4	7	472
"227"	228	221	6	30	152	30	1	1	1	0	0	1	2	0	0	1	0	0	225
"228"	228	222	9	34	259	46	1	1	4	1	2	1	0	1	1	0	0	2	362
"229"	228	223	12	127	92	102	3	26	3	2	1	1	7	2	5	5	12	2	402
"230"	228	224	1	17	376	3	0	0	0	0	0	0	0	0	0	0	0	0	397
"231"	228	225	8	87	39	108	6	1	2	2	4	1	1	0	1	4	1	9	274
"232"	228	226	0	6	121	1	1	0	0	0	0	1	1	1	0	0	0	0	132
"233"	228	227	4	191	36	17	1	1	0	0	0	0	0	0	0	0	0	0	250
"234"	228	228	13	73	23	337	5	1	2	2	2	5	3	2	9	3	2	7	489
"235"	228	229	1	14	15	144	2	2	2	0	0	0	1	3	2	2	0	0	188
"236"	228	230	9	3	11	28	1	4	1	0	0	0	1	0	2	1	0	0	61
"237"	228	231	8	144	53	64	4	1	5	0	1	4	2	1	1	1	0	2	291
"238"	228	232	68	166	1	31	1	1	2	1	0	0	1	0	0	0	2	1	275
"239"	228	233	1	55	8	77	3	3	3	2	3	4	3	1	8	2	3	6	182
"240"	228	234	5	34	38	108	3	2	0	1	1	1	2	1	3	4	1	4	208
"241"	228	235	5	122	10	100	2	0	0	1	0	1	1	1	4	0	1	0	248
"242"	228	236	4	35	10	54	5	3	2	4	2	6	3	5	7	3	1	10	154
"243"	228	237	1	269	30	1	0	1	0	0	0	0	1	0	0	0	0	1	304
"244"	228	238	6	56	37	98	15	1	2	2	2	1	5	6	5	7	4	15	262
"245"	228	239	1	214	64	10	0	1	0	0	0	1	0	0	0	0	0	0	291
"246"	228	240	3	489	34	6	1	0	0	0	1	0	0	0	0	0	1	0	535
"247"	228	241	0	99	5	1	0	0	0	0	0	0	0	0	0	0	0	0	105
"248"	228	242	1	98	16	13	0	0	0	0	0	0	0	0	0	0	0	0	128
"249"	228	243	0	354	2	1	0	0	0	0	1	0	0	0	0	0	0	0	358
"250"	228	244	0	4	0	341	1	3	0	0	1	0	0	0	0	0	0	0	350
"251"	228	245	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
"252"	228	246	1	35	7	35	0	0	1	0	0	1	1	0	0	0	0	1	82
"253"	228	247	1	49	3	45	1	0	1	1	0	0	0	1	2	0	1	0	105
"254"	228	248	1	62	6	19	1	0	0	0	0	1	1	0	0	0	2	0	93
"255"	228	249	0	489	4	3	0	0	0	0	0	0	0	0	0	0	0	0	496
"256"	228	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"257"	228	251	25	153	34	60	2	2	2	2	1	2	8	1	6	10	7	10	325
"258"	228	252	5	143	58	40	4	19	2	2	1	0	1	1	4	1	2	2	285
"259"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"260"	228	253	5	118	55	52	3	2	3	0	4	2	5	2	4	10	9	13	287
"261"	228	254	20	276	116	24	2	2	0	5	4	1	11	0	3	4	9	8	485
"262"	228	255	19	334	30	50	10	50	9	5	4	5	3	2	5	2	11	10	549
"263"	228	256	2	200	4	5	0	0	0	1	0	0	1	0	0	0	0	2	215
"264"	228	257	2	11	39	364	10	8	7	2	2	4	2	2	4	3	4	6	470
"265"	228	258	4	117	11	436	5	2	4	5	8	0	3	2	7	5	2	10	621
"266"	228	259	41	127	26	471	8	1	2	3	6	3	6	2	7	5	8	11	727
"267"	228	260	110	104	22	178	4	1	1	0	1	0	3	3	4	0	2	5	438
"268"	228	261	23	235	33	113	4	25	6	1	1	1	1	4	0	3	11	3	464
"269"	228	262	13	84	37	169	6	2	2	4	5	6	2	5	6	2	3	5	351
"270"	228	263	40	84	120	128	8	21	5	3	3	1	2	2	4	3	6	6	436
"271"	228	264	30	82	5	145	5	3	1	2	4	1	7	4	3	3	2	7	304
"272"	228	265	9	57	26	62	2	1	0	2	1	0	0	2	1	0	0	0	163
"273"	228	266	35	314	23	34	3	0	2	1	4	4	6	0	2	0	0	2	430
"274"	228	267	9	237	25	17	2	69	7	4	4	2	7	3	3	2	7	8	406
"275"	228	268	2	274	1	73	1	0	2	1	3	1	2	2	3	4	7	4	380
"276"	228	269	7	59	5	179	16	0	1	4	8	3	6	3	3	3	2	8	307
"277"	228	270	1	17	1	54	5	0	2	0	3	0	0	2	0	0	0	1	86
"278"	228	271	1	60	2	106	0	0	1	1	0	0	0	0	0	0	1	0	172
"279"	228	272	9	140	26	116	7	42	3	3	3	2	1	1	2	2	3	1	361
"280"	228	273	1	224	4	17	0	1	0	1	0	1	0	1	0	0	1	0	251
"281"	228	274	8	90	6	25	1	0	0	1	1	0	1	0	1	1	0	0	135
"282"	228	275	2	23	52	117	2	1	1	0	5	4	0	3	3	3	1	2	219
"283"	NA	NA	3533	39584	9025	36525	1349	1407	1340	455	536	447	585	521	834	681	690	1498	99010
"284"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"285"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
