"PC.No."	"AC.No."	"BOOTH.No."	"BOOTH.EXT"	"ARCHN.A.CHAND.RA"	"NIKHIL.KUMAR"	"SHAKIL.AHMAD.KHAN"	"SUSHIL.KUMAR.SINGH"	"ANIL.KUMAR.SINGH"	"AMERIK.A.MAHTO"	"RAM.KUMAR.MEHTA"	"VIJAY.PASWA.N"	"ASLAM.ANSARI"	"INDRA.DEO.RAM"	"UDAY.PASWAN"	"PUNA.DAS"	"RANJEE.T.KUMAR"	"RAJEND.RA.YADAV"	"RAMSW.ARUP.PRASAD.YADAV"	"SANTOS.H.KUMAR"	"TOTAL"
"18"	37	222	18	""	14	126	5	434	2	2	0	1	0	2	1	3	2	1	1	1	595
"19"	37	222	19	""	21	66	158	114	2	2	3	1	0	1	1	4	7	2	1	7	390
"20"	37	222	20	""	5	38	61	254	2	4	2	1	2	1	2	6	6	6	3	7	400
"21"	37	222	21	""	10	105	62	88	0	4	0	0	2	0	0	2	0	1	0	0	274
"22"	37	222	22	""	1	38	19	194	7	0	2	2	1	0	0	7	5	0	1	6	283
"23"	37	222	23	""	45	37	21	166	0	0	0	1	1	0	0	0	1	1	2	3	278
"24"	37	222	24	""	24	551	37	64	3	0	1	0	0	0	0	0	0	0	0	0	680
"25"	37	222	25	""	78	32	174	130	2	3	4	1	2	1	3	1	6	7	3	3	450
"26"	37	222	26	""	21	35	54	111	3	1	2	2	2	1	1	9	7	9	0	6	264
"27"	37	222	27	""	41	3	117	14	1	0	0	0	0	0	0	0	0	2	0	0	178
"28"	37	222	28	""	13	123	50	120	1	2	3	1	2	1	1	2	0	3	1	1	324
"29"	37	222	29	""	4	120	10	102	2	1	2	0	1	1	1	2	1	1	2	3	253
"30"	37	222	30	""	16	22	125	111	1	0	1	2	2	0	1	4	0	2	1	2	290
"31"	37	222	31	""	15	51	187	227	2	4	2	1	2	0	0	11	1	6	2	5	516
"32"	37	222	32	""	35	46	118	209	8	6	2	2	1	1	3	16	10	4	8	17	486
"33"	37	222	33	""	2	79	26	163	2	1	0	1	0	0	0	0	2	1	1	2	280
"34"	NA	NA	NA	"BOOTH EXT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"35"	37	222	34	""	20	78	25	38	2	2	0	1	1	3	7	3	2	3	3	10	198
"36"	37	222	35	""	38	45	132	203	2	2	2	2	1	2	2	7	2	5	5	4	454
"37"	37	222	36	""	9	22	51	76	1	1	0	0	1	0	0	3	1	0	2	0	167
"38"	37	222	37	""	26	16	102	164	3	0	2	1	0	0	0	1	0	1	1	3	320
"39"	37	222	38	""	37	27	160	54	7	8	6	2	4	1	2	9	9	7	6	4	343
"40"	37	222	39	""	12	14	90	47	3	2	0	1	0	0	0	3	1	3	0	2	178
"41"	37	222	40	""	30	70	20	21	1	0	2	0	0	0	1	1	1	2	0	1	150
"42"	37	222	41	""	37	40	123	101	4	4	2	3	3	4	0	3	1	7	1	2	335
"43"	37	222	42	""	3	38	47	100	3	2	1	1	0	0	2	3	0	7	4	6	217
"44"	37	222	43	""	8	55	24	103	4	5	1	2	2	1	0	5	10	3	2	2	227
"45"	37	222	44	""	105	13	95	87	3	4	2	3	0	1	0	15	2	5	11	13	359
"46"	37	222	45	""	34	54	90	283	10	5	2	6	3	2	0	4	7	2	4	6	512
"47"	37	222	46	""	38	7	49	166	5	2	7	0	0	2	1	5	1	2	2	9	296
"48"	37	222	47	""	70	17	67	120	4	7	1	1	3	2	2	10	10	10	8	18	350
"49"	37	222	48	""	3	61	87	108	5	0	5	3	1	0	1	4	3	4	6	9	300
"50"	37	222	49	""	49	41	88	153	6	3	3	2	0	0	4	4	2	4	2	2	363
"51"	37	222	50	""	10	6	107	127	7	5	3	6	1	1	1	10	12	9	2	9	316
"52"	37	222	51	""	23	2	150	114	3	1	1	1	1	0	3	2	2	3	0	1	307
"53"	37	222	52	""	15	11	98	159	9	2	3	4	3	1	0	2	10	4	3	4	328
"54"	37	222	52	"A"	40	16	112	90	1	6	3	4	2	1	1	4	2	3	2	4	291
"55"	37	222	53	""	26	19	79	231	6	9	2	2	2	1	1	8	12	1	2	5	406
"56"	37	222	54	""	47	16	165	198	8	2	1	5	1	0	3	6	1	3	7	2	465
"57"	37	222	55	""	35	9	131	180	4	5	7	5	0	4	2	10	10	7	8	11	428
"58"	37	222	56	""	92	48	104	117	2	6	2	3	1	1	3	6	6	9	8	18	426
"59"	37	222	57	""	18	17	137	33	1	11	0	0	0	0	0	1	1	1	0	0	220
"60"	37	222	58	""	23	71	61	67	2	2	0	1	0	1	1	3	2	3	2	6	245
"61"	37	222	59	""	24	31	82	146	2	8	1	0	0	0	1	8	6	9	7	5	330
"62"	37	222	60	""	38	54	35	156	3	0	1	2	0	0	1	3	5	3	4	0	305
"63"	37	222	61	""	6	42	174	161	6	2	2	0	0	3	4	1	2	1	5	5	414
"64"	37	222	62	""	6	179	107	13	2	2	3	0	1	0	0	1	1	3	2	3	323
"65"	37	222	63	""	38	62	114	232	9	5	6	6	3	1	1	6	8	2	5	8	506
"66"	37	222	64	""	63	70	9	68	1	3	0	0	0	0	1	0	1	0	1	0	217
"67"	37	222	65	""	1	75	44	41	0	1	1	1	4	1	2	4	8	4	3	2	192
"68"	NA	NA	NA	"BOOTH EXT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"69"	37	222	66	""	4	31	85	351	3	1	1	0	0	0	0	1	2	1	1	0	481
"70"	37	222	67	""	131	4	47	18	0	0	0	0	1	2	0	1	1	0	0	5	210
"71"	37	222	68	""	11	113	88	112	2	2	5	2	0	2	0	2	1	2	0	1	343
"72"	37	222	69	""	0	654	5	28	1	1	0	0	0	0	1	0	0	0	0	0	690
"73"	37	222	70	""	126	20	74	148	11	7	5	4	0	2	1	3	0	2	1	2	406
"74"	37	222	71	""	7	23	16	131	5	1	1	1	1	0	1	5	6	1	1	1	201
"75"	37	222	72	""	13	10	111	53	0	1	2	2	1	2	1	1	0	4	4	7	212
"76"	37	222	73	""	78	7	199	50	4	0	2	1	2	1	1	1	4	5	1	3	359
"77"	37	222	74	""	46	18	260	92	0	5	4	4	4	2	4	5	5	2	3	4	458
"78"	37	222	75	""	58	92	94	129	4	5	6	1	0	0	1	1	4	0	1	5	401
"79"	37	222	76	""	17	35	177	144	3	6	28	1	4	4	1	5	3	4	5	9	446
"80"	37	222	77	""	17	17	84	318	3	3	4	5	0	0	3	1	6	4	4	3	472
"81"	37	222	78	""	12	137	38	152	0	0	1	0	0	0	2	1	2	3	2	0	350
"82"	37	222	79	""	37	68	96	332	3	1	2	1	1	1	0	4	1	3	1	2	553
"83"	37	222	80	""	39	53	251	256	7	10	3	5	4	3	6	10	14	11	7	15	694
"84"	37	222	81	""	68	54	201	183	7	6	2	2	3	0	1	4	4	4	1	3	543
"85"	37	222	82	""	13	84	132	128	3	1	47	1	2	1	0	4	2	6	2	6	432
"86"	37	222	83	""	14	37	172	189	2	3	25	0	0	0	1	3	4	5	3	6	464
"87"	37	222	84	""	4	13	45	210	2	1	0	0	0	2	0	1	1	1	0	0	280
"88"	37	222	85	""	33	16	61	226	3	0	3	0	0	0	1	0	2	1	0	1	347
"89"	37	222	86	""	27	42	28	175	4	4	5	3	2	2	1	6	10	6	5	10	330
"90"	37	222	87	""	33	39	70	148	1	4	27	1	1	4	1	5	2	0	3	9	348
"91"	37	222	88	""	33	17	237	114	2	2	7	4	2	0	2	1	3	3	3	4	434
"92"	37	222	89	""	24	54	101	90	2	0	2	3	0	1	0	0	2	3	3	0	285
"93"	37	222	90	""	1	14	13	171	1	2	1	1	0	1	0	3	2	0	1	0	211
"94"	37	222	91	""	21	86	188	71	3	2	3	0	0	0	1	7	8	10	5	9	414
"95"	37	222	92	""	0	4	3	213	0	0	0	0	0	0	0	0	0	0	0	0	220
"96"	37	222	93	""	5	9	98	192	2	1	0	0	0	0	1	1	3	2	0	1	315
"97"	37	222	94	""	14	119	21	135	1	1	1	1	2	0	0	2	2	1	2	1	303
"98"	37	222	95	""	32	23	79	113	5	2	2	0	3	1	4	4	1	3	3	6	281
"99"	37	222	96	""	8	6	42	148	5	1	0	0	0	0	0	8	0	0	2	2	222
"100"	37	222	97	""	48	58	138	132	5	10	2	5	3	3	0	9	11	5	3	14	446
"101"	37	222	98	""	4	13	80	46	1	1	1	2	1	1	1	4	3	2	1	2	163
"102"	NA	NA	NA	"BOOTH EXT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"103"	37	222	99	""	20	35	72	86	4	4	2	4	0	3	0	3	8	3	1	5	250
"104"	37	222	100	""	35	36	40	235	2	12	4	3	1	2	4	6	6	5	2	4	397
"105"	37	222	101	""	33	19	77	121	2	2	2	0	0	1	0	6	5	1	0	4	273
"106"	37	222	102	""	31	229	29	261	2	1	2	1	0	1	0	2	0	1	4	2	566
"107"	37	222	103	""	51	26	34	159	4	2	0	1	0	0	0	4	1	2	2	2	288
"108"	37	222	104	""	57	15	209	76	6	1	2	0	0	0	0	2	0	0	0	2	370
"109"	37	222	105	""	0	76	37	104	1	1	1	0	0	0	1	0	0	3	0	1	225
"110"	37	222	106	""	5	14	29	157	2	4	0	2	0	3	4	5	13	4	3	10	255
"111"	37	222	107	""	18	19	124	91	1	6	2	2	2	0	2	1	1	1	0	3	273
"112"	37	222	108	""	53	84	22	136	1	2	0	1	1	1	0	2	1	2	2	2	310
"113"	37	222	109	""	19	13	82	161	2	3	8	2	0	1	3	3	3	1	0	4	305
"114"	37	222	110	""	94	72	47	144	2	1	3	2	0	1	0	3	1	4	1	3	378
"115"	37	222	111	""	78	12	95	86	2	1	2	0	0	1	2	6	6	2	4	7	304
"116"	37	222	112	""	72	297	36	68	2	1	1	2	0	0	1	1	0	1	0	2	484
"117"	37	222	113	""	80	52	65	43	2	0	1	1	1	1	1	5	3	7	5	8	275
"118"	37	222	114	""	3	53	50	67	0	3	2	1	3	1	1	4	2	2	2	7	201
"119"	37	222	115	""	23	9	108	45	2	0	2	2	0	1	0	2	1	5	2	3	205
"120"	37	222	116	""	44	65	85	139	2	3	2	2	2	2	3	2	9	5	7	6	378
"121"	37	222	117	""	72	19	104	56	3	1	3	2	2	2	0	1	1	3	1	3	273
"122"	37	222	118	""	1	21	68	77	3	0	0	0	1	0	0	1	1	0	0	1	174
"123"	37	222	119	""	60	52	195	168	7	8	38	3	2	0	2	6	5	1	7	7	561
"124"	37	222	120	""	9	8	147	100	3	0	3	2	1	3	0	2	1	0	1	0	280
"125"	37	222	121	""	13	10	180	119	3	1	2	0	1	0	0	5	3	3	0	4	344
"126"	37	222	122	""	67	29	29	134	0	2	33	2	1	1	1	5	2	0	1	1	308
"127"	37	222	123	""	27	42	80	243	6	26	16	2	2	1	3	7	2	1	3	5	466
"128"	37	222	124	""	39	49	108	413	1	2	0	2	0	1	1	4	3	1	1	0	625
"129"	37	222	125	""	72	47	74	255	1	6	2	5	2	2	0	10	2	9	6	16	509
"130"	37	222	126	""	14	14	128	121	4	1	0	1	0	0	2	6	2	2	2	3	300
"131"	37	222	127	""	143	40	68	207	8	1	3	1	3	2	4	9	4	4	4	21	522
"132"	37	222	128	""	43	19	147	127	8	12	5	1	2	2	0	4	3	1	4	3	381
"133"	37	222	129	""	17	48	111	104	4	2	1	2	0	0	2	1	0	1	1	1	295
"134"	37	222	130	""	5	0	70	115	3	3	12	2	0	1	0	1	0	0	0	0	212
"135"	37	222	131	""	123	24	24	206	0	1	0	0	0	0	0	1	0	0	0	2	381
"136"	NA	NA	NA	"BOOTH EXT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"137"	37	222	132	""	26	78	160	245	8	7	11	1	2	1	0	8	4	0	2	2	555
"138"	37	222	133	""	40	14	89	257	8	10	3	5	3	4	6	8	4	2	3	4	460
"139"	37	222	134	""	48	65	13	183	0	0	2	0	1	0	2	5	4	0	1	2	326
"140"	37	222	135	""	7	16	62	39	2	2	1	0	0	1	1	0	1	2	1	2	137
"141"	37	222	136	""	3	177	60	135	3	0	0	0	1	1	0	3	2	3	1	1	390
"142"	37	222	137	""	16	257	113	83	1	3	3	3	1	3	7	1	4	5	4	7	511
"143"	37	222	138	""	10	43	109	103	1	6	6	6	2	0	3	3	1	2	3	3	301
"144"	37	222	139	""	3	117	50	69	2	2	0	1	0	1	1	1	0	1	1	1	250
"145"	37	222	140	""	7	76	100	174	2	0	0	0	1	0	0	1	3	0	2	1	367
"146"	37	222	141	""	21	8	43	169	3	0	1	1	2	1	1	3	3	4	3	0	263
"147"	37	222	142	""	94	17	94	97	1	1	1	1	0	0	0	2	4	1	0	2	315
"148"	37	222	143	""	3	25	29	88	2	1	1	2	0	0	2	5	2	3	1	1	165
"149"	37	222	144	""	2	254	40	54	1	1	0	1	0	1	3	1	2	0	0	0	360
"150"	37	222	145	""	13	48	199	147	5	3	5	1	0	0	3	4	3	1	0	1	433
"151"	37	222	146	""	64	68	52	145	2	3	4	3	1	0	2	4	1	4	1	0	354
"152"	37	222	147	""	40	24	24	118	1	2	0	3	2	2	7	11	13	7	6	7	267
"153"	37	222	148	""	12	21	167	143	7	11	18	3	6	4	2	10	14	16	10	19	463
"154"	37	222	149	""	13	25	154	234	0	1	3	1	0	1	1	3	1	2	3	5	447
"155"	37	222	150	""	11	66	69	141	7	6	1	0	3	1	1	5	8	5	2	5	331
"156"	37	222	151	""	47	26	42	212	14	0	0	4	2	0	2	4	7	3	0	7	370
"157"	37	222	152	""	34	55	45	158	5	2	1	1	1	2	0	3	3	2	3	6	321
"158"	37	222	153	""	3	5	103	35	0	0	0	0	0	0	0	2	1	0	1	0	150
"159"	37	222	154	""	45	39	66	185	4	5	2	1	1	1	1	6	6	1	1	2	366
"160"	37	222	155	""	76	152	154	190	4	4	5	2	1	0	2	2	5	7	5	6	615
"161"	37	222	156	""	17	7	53	229	8	9	0	3	4	2	1	11	15	1	4	6	370
"162"	37	222	157	""	58	28	81	114	5	7	4	5	6	1	0	13	5	3	4	23	357
"163"	37	222	158	""	42	16	146	186	5	8	2	1	2	3	2	7	3	1	7	16	447
"164"	37	222	159	""	45	16	11	64	2	0	1	0	0	1	1	1	2	3	2	5	154
"165"	37	222	160	""	8	15	11	45	0	0	1	2	1	1	1	2	3	1	0	1	92
"166"	37	222	161	""	0	8	19	56	1	0	1	1	0	0	0	0	0	0	0	3	89
"167"	37	222	162	""	24	28	172	160	3	3	10	2	2	1	3	11	10	4	4	8	445
"168"	37	222	163	""	15	10	20	263	9	2	2	1	0	0	3	8	6	3	2	3	347
"169"	37	222	164	""	81	19	53	42	3	0	2	0	1	1	0	0	0	0	1	0	203
"170"	NA	NA	NA	"BOOTH EXT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"171"	37	222	165	""	13	11	73	64	1	3	1	1	2	2	0	3	1	1	0	1	177
"172"	37	222	166	""	18	30	52	200	5	4	3	1	0	1	0	4	3	0	2	1	324
"173"	37	222	167	""	7	42	95	93	2	17	3	2	1	1	0	2	3	1	0	3	272
"174"	37	222	168	""	30	10	191	129	3	3	8	1	1	1	1	3	8	8	2	4	403
"175"	37	222	169	""	20	2	8	139	1	3	3	1	1	1	0	3	3	1	0	5	191
"176"	37	222	170	""	42	30	29	159	1	3	2	3	3	3	4	14	13	5	5	15	331
"177"	37	222	171	""	7	9	24	199	2	3	2	0	2	1	1	2	1	0	2	1	256
"178"	37	222	172	""	50	35	264	81	4	0	3	6	2	0	1	1	0	1	2	5	455
"179"	37	222	173	""	8	25	47	155	3	1	1	1	1	0	1	2	0	0	2	4	251
"180"	37	222	174	""	32	26	107	160	3	5	5	9	6	7	4	9	7	8	6	4	398
"181"	37	222	175	""	50	59	59	93	5	1	4	3	1	2	2	9	4	4	7	12	315
"182"	37	222	176	""	8	66	145	354	8	6	3	2	1	4	1	3	7	7	4	2	621
"183"	37	222	177	""	77	52	34	90	4	1	1	1	0	0	0	5	5	2	5	4	281
"184"	37	222	178	""	83	37	50	52	1	0	0	0	0	1	0	3	0	0	0	1	228
"185"	37	222	179	""	67	31	44	224	17	13	16	7	4	6	4	17	12	6	18	29	515
"186"	37	222	180	""	91	46	29	248	2	4	1	1	0	1	1	2	0	2	0	5	433
"187"	37	222	181	""	29	97	22	123	2	5	2	1	2	1	0	5	3	3	0	5	300
"188"	37	222	182	""	4	39	3	155	1	3	0	0	2	0	0	2	3	0	0	1	213
"189"	37	222	183	""	6	64	3	74	0	0	1	1	0	0	0	2	2	0	0	1	154
"190"	37	222	184	""	9	4	46	151	3	2	1	0	1	2	2	8	3	0	4	3	239
"191"	37	222	185	""	5	158	37	137	7	3	1	2	0	0	1	5	1	0	3	1	361
"192"	37	222	186	""	9	34	175	244	2	2	6	2	0	0	0	3	1	3	2	3	486
"193"	37	222	187	""	5	38	29	252	1	2	0	0	0	3	2	2	1	0	4	2	341
"194"	37	222	188	""	6	15	150	176	4	3	1	1	2	5	2	8	5	1	2	2	383
"195"	37	222	189	""	12	28	253	22	5	1	2	0	0	1	0	1	1	2	2	1	331
"196"	37	222	190	""	8	52	14	281	4	1	0	2	0	1	2	7	1	2	2	3	380
"197"	37	222	191	""	41	163	107	238	8	13	6	7	3	4	5	11	11	6	8	8	639
"198"	37	222	192	""	17	19	222	30	1	2	1	4	1	0	0	0	1	3	1	2	304
"199"	37	222	193	""	2	84	10	34	0	0	0	0	2	1	0	0	0	1	0	1	135
"200"	37	222	194	""	42	10	72	82	1	0	0	0	1	0	0	0	1	0	0	1	210
"201"	37	222	195	""	29	101	19	68	1	1	3	1	0	0	1	1	1	2	0	8	236
"202"	37	222	196	""	35	18	15	222	4	1	0	1	2	1	1	6	2	1	4	3	316
"203"	37	222	197	""	57	11	74	74	2	1	1	1	0	2	0	1	2	2	0	1	229
"204"	NA	NA	NA	"BOOTH EXT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"205"	37	222	198	""	2	29	111	152	2	0	0	0	0	1	0	1	0	1	3	2	304
"206"	37	222	199	""	77	18	64	24	2	11	1	3	2	0	0	3	2	0	2	2	211
"207"	37	222	200	""	12	24	54	185	6	7	1	4	2	0	12	7	6	3	7	12	342
"208"	37	222	201	""	18	36	18	75	0	1	0	0	0	0	1	3	4	1	0	3	160
"209"	37	222	202	""	4	5	3	159	1	0	1	0	0	0	0	5	0	1	0	0	179
"210"	37	222	203	""	25	14	196	180	3	4	7	6	0	1	1	5	3	1	1	3	450
"211"	37	222	204	""	0	8	282	25	0	1	0	0	0	0	0	0	0	0	0	0	316
"212"	37	222	205	""	13	7	172	162	10	8	3	2	0	4	2	12	3	8	6	4	416
"213"	37	222	206	""	17	61	75	121	0	0	0	3	0	1	6	2	1	2	1	1	291
"214"	37	222	207	""	18	57	128	124	9	4	2	3	1	0	1	5	5	5	7	3	372
"215"	37	222	208	""	9	7	22	184	9	2	2	0	0	1	0	1	0	0	1	0	238
"216"	37	222	209	""	68	77	43	178	1	1	1	1	1	1	1	6	3	2	1	0	385
"217"	37	222	210	""	28	34	28	175	6	4	2	1	4	0	1	5	2	2	10	4	306
"218"	37	222	211	""	1	0	2	262	1	0	0	0	0	0	0	1	0	0	0	0	267
"219"	37	222	212	""	11	2	120	66	5	3	0	0	0	0	0	0	4	0	0	0	211
"220"	37	222	213	""	2	198	11	23	2	0	0	0	0	2	0	0	0	1	0	0	239
"221"	37	222	214	""	40	45	33	128	1	4	2	3	2	0	2	2	1	1	2	3	269
"222"	37	222	215	""	1	76	5	65	0	0	0	0	0	0	0	0	1	0	0	0	148
"223"	37	222	216	""	19	13	45	226	5	6	1	6	0	1	4	10	8	3	4	6	357
"224"	37	222	217	""	3	11	33	62	2	3	0	0	0	1	0	3	2	1	0	0	121
"225"	37	222	218	""	80	41	159	175	3	3	3	4	0	0	0	4	7	1	0	2	482
"226"	37	222	219	""	38	11	20	71	1	0	2	2	1	1	5	3	4	2	5	7	173
"227"	37	222	220	""	9	14	91	146	2	7	4	2	5	1	2	1	2	2	1	6	295
"228"	37	222	221	""	2	11	12	35	3	0	0	0	0	0	0	0	0	1	0	0	64
"229"	37	222	222	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"230"	37	222	223	""	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	5
"231"	37	222	224	""	16	148	30	69	6	4	2	5	0	2	4	3	1	1	0	0	291
"232"	37	222	225	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"233"	37	222	226	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"234"	37	222	227	""	9	3	47	147	3	4	20	4	0	1	1	3	3	2	2	1	250
"235"	37	222	228	""	8	4	5	88	3	6	0	4	0	0	1	10	6	1	1	1	138
"236"	37	222	229	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"237"	37	222	230	""	32	99	34	108	2	3	1	0	0	0	0	2	1	1	1	3	287
"238"	NA	NA	NA	"BOOTH EXT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"239"	37	222	231	""	0	6	11	103	4	3	2	1	1	1	0	7	3	3	4	8	157
"240"	37	222	232	""	7	73	52	120	2	5	3	1	1	2	2	7	2	4	5	10	296
"241"	37	222	233	""	3	33	37	363	2	1	6	2	0	0	2	5	0	0	1	4	459
"242"	37	222	234	""	29	63	46	164	3	3	5	2	1	4	4	5	8	6	5	6	354
"243"	37	222	235	""	1	7	32	213	1	4	1	1	0	0	0	3	1	0	0	1	265
"244"	37	222	236	""	1	4	136	47	2	0	0	0	0	1	0	0	4	1	0	0	196
"245"	37	222	237	""	1	2	238	17	0	1	2	2	0	0	0	0	1	0	0	0	264
"246"	37	222	238	""	10	4	190	19	1	1	0	1	0	0	0	0	0	0	0	1	227
"247"	37	222	239	""	17	14	131	37	7	6	6	1	2	2	2	3	3	4	1	6	242
"248"	37	222	240	""	10	14	111	31	5	2	2	6	2	4	3	6	5	4	7	17	229
"249"	37	222	241	""	7	7	107	68	0	5	1	3	2	0	2	0	3	4	5	4	218
"250"	NA	NA	NA	""	6925	12181	19436	31864	746	712	731	403	247	243	319	930	792	623	575	1006	77733
