"er.nku.dsUnz.l.a....k"	"i.kj.l..ukFk.i.kBd"	"c.f..k.k.i.Vsy"	"fot.....kadj..nwcs"	"gsuk...kgkc"	"vej..ukFk...kno"	"vLouh.dq0.oekZ"	"ek.kqj.h.i.k.Ms."	"yky..ckcq.fr.okj.h"	"mes..k.fr.okj.h"	"vkse.i.zdk..k...kno"	"fuf.k.dhfr.Z"	"i.zHkw.ukFk.ekyh"	"MkW0.equs..oj.i.zl.kn"	"j.kt.sUnz.dqekj"	"X..kEHkw.ukFk.i.zl.kn"	"dqy.fof.kekU..er"	"i.zfr..ksfi.r.er.ksa.dh.dqy..l.a....k"	"X..ksx"	"fufonr.er.ksa.dh.dqy..l.a....k"
"79"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"80"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"81"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"82"	50	8	37	13	171	31	5	3	4	3	15	2	6	5	5	4	312	NA	312	NA
"83"	51	1	30	3	39	1	2	0	1	1	60	0	1	1	6	4	150	NA	150	NA
"84"	52	8	23	18	16	152	9	3	5	7	124	5	4	3	16	3	396	NA	396	NA
"85"	53	26	11	8	30	40	4	2	5	6	95	4	5	4	13	6	259	NA	259	NA
"86"	54	10	74	55	61	5	2	4	6	6	204	6	4	3	15	17	472	NA	472	NA
"87"	55	29	110	10	68	12	1	1	4	7	121	3	1	1	15	3	386	NA	386	NA
"88"	56	19	40	43	11	93	9	4	11	4	50	2	4	0	7	6	303	NA	303	NA
"89"	57	24	7	9	59	139	5	2	2	4	43	2	2	0	9	5	312	NA	312	NA
"90"	58	15	133	36	10	33	5	2	6	5	62	0	0	1	6	1	315	NA	315	NA
"91"	59	14	14	22	180	89	6	5	13	11	182	7	8	4	18	16	589	NA	589	NA
"92"	NA	154	479	217	645	595	48	26	57	54	956	31	35	22	110	65	3494	0	3494	0
"93"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"94"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"95"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"96"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"97"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"98"	60	9	89	45	117	20	0	0	3	2	40	0	1	0	5	2	333	NA	333	NA
"99"	61	18	31	33	29	115	5	0	20	5	106	5	1	2	12	8	390	NA	390	NA
"100"	62	4	3	181	23	3	2	1	2	0	40	1	0	1	7	0	268	NA	268	NA
"101"	63	25	50	11	10	126	4	4	12	12	71	10	2	3	13	6	359	NA	359	NA
"102"	64	4	14	8	62	3	5	2	3	10	179	3	3	0	6	6	308	NA	308	NA
"103"	65	67	40	23	40	20	9	9	9	6	74	0	4	1	9	5	316	NA	316	NA
"104"	66	7	45	11	97	118	2	4	4	1	74	3	3	2	8	6	385	NA	385	NA
"105"	67	13	99	27	176	113	7	2	13	10	56	6	2	4	7	3	538	NA	538	NA
"106"	68	11	76	6	40	6	6	4	4	7	230	6	4	5	33	18	456	NA	456	NA
"107"	69	8	20	9	17	50	6	3	11	8	101	5	2	1	16	12	269	NA	269	NA
"108"	NA	166	467	354	611	574	46	29	81	61	971	39	22	19	116	66	3622	0	3622	0
"109"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"110"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"111"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"112"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"113"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"114"	70	22	148	8	32	79	11	5	16	12	30	12	1	1	9	16	402	NA	402	NA
"115"	71	28	37	5	134	31	7	2	4	13	152	3	4	7	26	18	471	NA	471	NA
"116"	72	19	52	20	87	57	10	5	8	15	267	10	8	5	35	29	627	NA	627	NA
"117"	73	32	132	9	82	25	3	3	5	9	98	2	4	5	9	7	425	NA	425	NA
"118"	74	18	38	4	12	5	2	1	2	2	118	2	0	2	14	2	222	NA	222	NA
"119"	75	7	15	10	63	99	10	7	13	8	68	14	9	3	5	9	340	NA	340	NA
"120"	76	18	94	12	35	23	3	1	2	3	122	2	1	2	14	9	341	NA	341	NA
"121"	77	10	38	7	78	5	4	6	3	8	246	8	2	1	17	9	442	NA	442	NA
"122"	78	9	62	7	8	2	2	0	6	4	154	8	0	1	18	6	287	NA	287	NA
"123"	79	9	35	9	15	1	1	2	0	4	91	1	1	0	13	4	186	NA	186	NA
"124"	NA	172	651	91	546	327	53	32	59	78	1346	62	30	27	160	109	3743	0	3743	0
"125"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"126"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"127"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"128"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"129"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"130"	80	13	84	4	197	22	4	3	4	9	308	12	11	9	23	33	736	NA	736	NA
"131"	81	14	80	5	247	3	3	1	3	2	222	3	1	3	21	10	618	NA	618	NA
"132"	82	91	32	3	148	14	3	5	2	3	208	5	3	6	33	25	581	NA	581	NA
"133"	83	6	26	19	105	12	0	0	2	6	299	16	1	3	18	14	527	NA	527	NA
"134"	84	100	152	23	100	53	5	3	10	5	128	19	6	1	9	3	617	NA	617	NA
"135"	85	14	14	21	40	12	3	1	4	7	277	23	3	1	27	16	463	NA	463	NA
"136"	86	75	47	9	235	13	5	2	4	4	61	3	0	2	6	5	471	NA	471	NA
"137"	87	30	8	8	171	6	0	1	1	0	18	2	2	3	0	1	251	NA	251	NA
"138"	88	26	55	25	156	28	4	3	8	5	206	6	1	2	17	2	544	NA	544	NA
"139"	89	27	18	1	248	7	2	3	2	3	34	3	6	1	11	1	367	NA	367	NA
"140"	NA	396	516	118	1647	170	29	22	40	44	1761	92	34	31	165	110	5175	0	5175	0
"141"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"142"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"143"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"144"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"145"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"146"	90	32	22	2	50	185	6	0	12	5	7	11	9	4	5	6	356	NA	356	NA
"147"	91	17	18	3	140	172	8	1	22	6	10	10	11	0	5	9	432	NA	432	NA
"148"	92	3	35	5	19	7	2	2	1	2	57	3	3	2	3	6	150	NA	150	NA
"149"	93	133	69	20	94	15	0	4	5	2	104	3	3	8	14	15	489	NA	489	NA
"150"	94	1	23	2	119	8	3	0	2	0	86	3	3	1	15	16	282	NA	282	NA
"151"	95	16	97	21	69	72	1	3	9	5	100	7	2	1	5	7	415	NA	415	NA
"152"	96	6	84	28	104	79	4	3	9	6	53	6	4	3	11	11	411	NA	411	NA
"153"	NA	8	75	12	60	146	5	4	20	8	57	5	7	6	12	12	437	NA	437	NA
"154"	97	18	53	11	148	43	9	2	14	6	111	6	6	3	16	8	454	NA	454	NA
"155"	98	2	3	8	128	159	7	1	5	4	231	2	2	0	4	2	558	NA	558	NA
"156"	NA	236	479	112	931	886	45	20	99	44	816	56	50	28	90	92	3984	0	3984	0
"157"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"158"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"159"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"160"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"161"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"162"	99	8	10	12	58	51	5	3	3	2	101	15	3	2	3	9	285	NA	285	NA
"163"	100	5	56	11	101	41	7	6	8	17	187	9	12	11	25	40	536	NA	536	NA
"164"	101	121	21	6	70	48	2	1	9	6	44	5	3	5	7	18	366	NA	366	NA
"165"	102	37	30	15	154	59	6	8	8	12	104	9	13	13	25	21	514	NA	514	NA
"166"	103	10	38	27	41	185	8	7	15	9	124	9	3	2	10	5	493	NA	493	NA
"167"	104	12	54	38	28	27	4	4	12	4	244	13	2	0	17	20	479	NA	479	NA
"168"	105	14	115	30	101	21	2	3	13	15	167	13	5	6	25	16	546	NA	546	NA
"169"	106	20	27	53	102	44	11	3	11	12	202	5	0	4	15	4	513	NA	513	NA
"170"	107	9	158	27	69	8	5	0	4	6	29	3	0	4	5	2	329	NA	329	NA
"171"	108	20	98	13	78	10	1	2	10	9	104	4	3	1	18	6	377	NA	377	NA
"172"	NA	256	607	232	802	494	51	37	93	92	1306	85	44	48	150	141	4438	0	4438	0
"173"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"174"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"175"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"176"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"177"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"178"	109	5	39	5	143	48	3	4	7	5	74	1	3	2	6	4	349	NA	349	NA
"179"	110	12	99	102	124	21	3	3	9	7	72	5	8	6	24	25	520	NA	520	NA
"180"	111	42	26	2	21	2	1	2	0	1	63	1	0	1	9	6	177	NA	177	NA
"181"	112	24	39	96	81	20	7	6	10	10	218	5	0	5	21	11	553	NA	553	NA
"182"	113	41	176	56	20	6	1	3	9	13	95	7	10	10	27	18	492	NA	492	NA
"183"	114	19	101	35	110	25	9	5	9	17	229	13	6	8	34	11	631	NA	631	NA
"184"	115	19	183	67	87	28	1	3	2	7	146	3	0	3	8	3	560	NA	560	NA
"185"	116	5	82	14	31	15	2	4	7	8	103	8	3	6	14	18	320	NA	320	NA
"186"	117	28	69	19	48	15	2	4	5	11	101	5	0	2	14	19	342	NA	342	NA
"187"	118	3	90	18	5	89	3	2	6	0	31	1	3	0	4	1	256	NA	256	NA
"188"	NA	198	904	414	670	269	32	36	64	79	1132	49	33	43	161	116	4200	0	4200	0
"189"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"190"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"191"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"192"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"193"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"194"	119	43	124	37	175	12	4	9	1	3	153	5	1	2	18	16	603	NA	603	NA
"195"	120	17	49	193	96	6	2	1	4	6	101	3	0	3	11	2	494	NA	494	NA
"196"	121	38	160	70	61	7	5	3	5	7	78	10	4	10	14	31	503	NA	503	NA
"197"	122	142	88	37	150	30	13	8	8	14	75	6	6	7	12	14	610	NA	610	NA
"198"	123	10	14	6	147	2	5	9	5	6	146	3	5	1	15	6	380	NA	380	NA
"199"	124	34	143	29	170	9	7	5	16	15	62	8	9	9	20	19	555	NA	555	NA
"200"	125	13	125	39	38	5	3	4	7	16	74	6	5	6	19	36	396	NA	396	NA
"201"	126	67	93	45	66	21	4	5	9	5	101	3	4	2	4	2	431	NA	431	NA
"202"	127	24	92	47	57	4	5	7	6	11	94	3	2	1	16	6	375	NA	375	NA
"203"	128	19	102	89	119	14	6	3	3	11	136	3	0	0	9	5	519	NA	519	NA
"204"	NA	407	990	592	1079	110	54	54	64	94	1020	50	36	41	138	137	4866	0	4866	0
"205"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"206"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"207"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"208"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"209"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"210"	129	29	34	44	62	69	15	5	8	20	293	8	8	7	30	14	646	NA	646	NA
"211"	130	89	88	30	70	10	3	5	9	10	137	8	7	3	16	16	501	NA	501	NA
"212"	131	20	5	9	172	11	6	3	3	4	46	4	2	2	4	13	304	NA	304	NA
"213"	132	3	18	63	71	13	4	0	5	10	216	8	6	1	26	15	459	NA	459	NA
"214"	133	42	137	82	181	21	1	2	4	1	94	3	4	6	11	12	601	NA	601	NA
"215"	134	20	28	13	46	7	2	2	0	4	49	6	1	2	9	15	204	NA	204	NA
"216"	135	40	75	40	65	5	5	8	2	18	137	3	4	4	30	11	447	NA	447	NA
"217"	136	20	61	40	154	2	0	4	3	4	52	3	7	9	9	11	379	NA	379	NA
"218"	137	43	270	35	33	5	2	0	5	8	32	8	1	4	19	9	474	NA	474	NA
"219"	138	10	67	1	22	1	2	4	1	7	267	5	3	1	17	2	410	NA	410	NA
"220"	NA	316	783	357	876	144	40	33	40	86	1323	56	43	39	171	118	4425	0	4425	0
"221"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"222"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"223"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"224"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"225"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"226"	139	7	5	1	109	5	8	7	3	8	89	1	4	1	8	4	260	NA	260	NA
"227"	140	38	89	2	62	4	5	4	5	9	202	4	1	10	22	23	480	NA	480	NA
"228"	141	52	10	7	143	11	4	8	3	3	278	7	6	5	19	16	572	NA	572	NA
"229"	142	20	11	13	192	4	11	2	6	7	241	5	22	6	14	10	564	NA	564	NA
"230"	143	4	9	25	82	3	3	2	2	9	189	6	3	6	22	11	376	NA	376	NA
"231"	144	14	54	17	57	7	7	2	7	10	246	8	7	4	29	20	489	NA	489	NA
"232"	145	17	129	18	78	10	4	4	4	3	85	2	7	4	12	8	385	NA	385	NA
"233"	146	6	145	5	78	3	1	5	7	7	257	4	2	2	11	5	538	NA	538	NA
"234"	147	89	57	11	193	7	2	3	4	13	267	3	4	10	26	14	703	NA	703	NA
"235"	148	56	102	13	105	12	10	9	7	11	120	7	8	4	27	11	502	NA	502	NA
"236"	NA	303	611	112	1099	66	55	46	48	80	1974	47	64	52	190	122	4869	0	4869	0
"237"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"238"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"239"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"240"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"241"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"242"	149	66	113	4	39	7	3	1	3	5	174	2	2	3	14	11	447	NA	447	NA
"243"	150	14	11	2	62	9	0	1	6	4	331	3	2	2	8	3	458	NA	458	NA
"244"	151	10	7	4	38	1	7	0	1	11	304	5	5	0	22	16	431	NA	431	NA
"245"	152	7	84	4	74	1	2	3	2	8	113	1	4	1	14	6	324	NA	324	NA
"246"	153	12	77	13	161	12	6	5	7	9	102	9	18	13	24	32	500	NA	500	NA
"247"	154	6	4	7	179	9	1	2	3	1	73	4	6	4	3	9	311	NA	311	NA
"248"	NA	7	17	5	159	9	4	2	2	1	148	0	6	1	10	3	374	NA	374	NA
"249"	155	4	26	4	52	1	3	2	5	5	122	4	0	3	11	9	251	NA	251	NA
"250"	156	8	18	3	164	6	5	4	3	2	107	2	1	2	7	4	336	NA	336	NA
"251"	157	16	19	11	156	11	5	3	5	3	82	1	0	1	3	5	321	NA	321	NA
"252"	NA	150	376	57	1084	66	36	23	37	49	1556	31	44	30	116	98	3753	0	3753	0
"253"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"254"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"255"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"256"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"257"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"258"	158	7	49	8	62	3	6	4	1	7	343	8	3	1	43	16	561	NA	561	NA
"259"	159	61	31	5	146	8	2	4	0	2	146	3	3	0	15	3	429	NA	429	NA
"260"	160	12	30	8	121	7	5	1	7	4	243	5	3	1	31	5	483	NA	483	NA
"261"	161	23	10	7	95	34	8	5	2	9	309	5	2	0	22	3	534	NA	534	NA
"262"	162	2	19	7	98	2	3	2	3	3	176	4	3	1	13	13	349	NA	349	NA
"263"	163	27	19	6	109	12	2	4	2	3	69	0	3	1	6	3	266	NA	266	NA
