"A_CODE"	"BOOTH_NO"	"Kalawati.Devi"	"Ramji.Manjhi"	"Sanjiv.Prasad.Toni"	"Hari.Manjhi"	"Dilip.Paswan"	"Niranjan.Kumar"	"Rajesh.Kumar"	"Ramdev.Arya.Paan"	"Amarnath.prasad"	"Krishna.Choudhary"	"Kail.Das"	"Deepak.Paswan"	"Ramkishore.Paswan"	"Ramu.Paswan"	"Shiv.Shankar.Kumar"	"Shyamlal.Manjhi"	"TOTAL.Votes"
"36"	226	36	8	52	23	185	4	0	3	2	3	5	2	5	17	5	4	7	325
"37"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"38"	226	37	7	76	12	101	0	0	1	1	0	0	1	2	0	0	4	1	206
"39"	226	38	66	133	22	141	3	2	2	1	0	0	2	1	3	2	2	0	380
"40"	226	39	67	54	59	365	8	7	2	2	4	1	2	2	2	2	1	2	580
"41"	226	40	39	69	16	158	3	2	2	2	5	0	1	0	11	0	2	1	311
"42"	226	41	13	119	34	58	2	3	0	2	2	1	0	2	3	3	2	6	250
"43"	226	42	1	11	22	160	5	0	0	2	1	0	0	0	0	0	0	0	202
"44"	226	43	102	68	1	8	1	0	0	0	0	0	0	1	0	0	0	0	181
"45"	226	44	34	127	16	64	7	5	4	2	2	4	1	1	2	4	1	1	275
"46"	226	45	1	71	82	5	1	0	0	0	0	1	0	0	0	1	0	0	162
"47"	226	46	46	136	31	117	2	1	7	2	6	1	5	4	1	5	4	3	371
"48"	226	47	21	136	33	146	7	19	7	6	2	3	9	2	4	3	4	3	405
"49"	226	48	5	101	46	57	2	0	0	0	0	1	0	0	1	1	0	0	214
"50"	226	49	30	64	12	140	1	3	0	1	0	1	1	0	2	1	0	0	256
"51"	226	50	8	211	46	10	3	2	4	4	1	1	2	3	2	3	5	13	318
"52"	226	51	10	19	60	50	2	4	2	3	3	2	3	2	3	9	6	2	180
"53"	226	52	53	105	14	121	5	2	3	1	2	2	2	1	1	2	2	6	322
"54"	226	53	82	277	22	184	9	1	3	1	3	4	1	1	4	3	1	4	600
"55"	226	54	1	481	7	17	3	0	1	0	1	0	0	0	0	0	0	0	511
"56"	226	55	3	66	25	698	1	0	1	1	0	1	0	0	2	0	1	2	801
"57"	226	56	3	58	20	177	5	2	1	2	6	4	3	5	7	9	11	6	319
"58"	226	57	4	158	148	7	1	2	1	0	1	1	3	0	2	1	2	4	335
"59"	226	58	117	174	83	78	5	3	2	2	1	2	11	6	13	12	3	6	518
"60"	226	59	32	116	23	12	0	3	0	3	1	1	4	1	1	2	3	4	206
"61"	226	60	15	5	642	71	0	1	0	0	0	0	0	0	0	0	0	0	734
"62"	226	61	3	4	232	23	1	0	1	0	0	0	0	0	0	1	0	0	265
"63"	226	62	26	109	13	211	13	3	1	3	5	0	5	1	3	2	4	3	402
"64"	226	NA	6	169	29	34	2	1	0	1	3	3	2	2	4	3	5	3	267
"65"	226	63	5	821	91	12	2	9	1	3	3	0	3	0	0	0	1	0	951
"66"	226	64	6	144	181	38	0	53	0	1	1	2	2	1	1	0	0	0	430
"67"	226	65	4	111	47	112	1	1	2	0	0	2	2	0	1	0	4	1	288
"68"	226	66	10	104	10	245	6	4	2	4	6	2	6	0	9	3	2	0	413
"69"	226	67	46	20	23	108	1	0	0	0	0	0	0	0	1	0	0	3	202
"70"	226	68	80	82	41	31	2	0	0	3	1	0	1	0	3	3	0	4	251
"71"	226	69	38	61	17	181	1	2	3	4	2	1	2	2	4	0	2	1	321
"72"	226	70	11	43	89	136	6	2	6	3	4	4	3	4	7	2	1	6	327
"73"	226	71	2	162	246	5	0	1	0	0	0	0	1	0	0	0	0	0	417
"74"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"75"	226	72	54	19	80	34	2	0	0	0	0	0	0	1	6	1	3	3	203
"76"	226	73	0	187	17	44	4	0	1	1	2	0	0	2	0	0	0	1	259
"77"	226	74	9	321	81	52	3	0	0	1	3	0	0	0	8	1	0	0	479
"78"	226	75	2	321	5	64	4	0	0	1	2	2	3	1	8	1	2	3	419
"79"	226	76	7	253	16	76	8	2	2	4	3	4	6	4	17	3	3	2	410
"80"	226	77	0	520	6	13	0	0	0	0	0	0	0	0	0	0	0	0	539
"81"	226	78	8	95	24	39	5	0	3	2	2	1	3	1	6	1	10	11	211
"82"	226	79	0	495	4	8	0	1	0	0	1	0	0	2	0	0	0	0	511
"83"	226	80	1	483	2	12	1	0	0	0	0	1	0	0	1	1	0	0	502
"84"	226	81	2	128	1	41	1	0	0	2	0	0	0	1	0	0	0	1	177
"85"	226	82	27	192	8	111	8	2	1	3	2	4	8	5	8	9	4	6	398
"86"	226	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"87"	226	84	1	426	27	32	1	2	0	0	0	1	0	0	0	0	0	0	490
"88"	226	85	6	473	13	95	3	1	0	0	1	1	3	0	3	1	5	2	607
"89"	226	86	1	324	11	10	0	0	0	0	0	0	0	0	0	0	0	0	346
"90"	226	87	15	118	110	116	14	2	1	2	3	3	3	1	0	3	3	7	401
"91"	226	88	2	322	3	123	3	1	0	1	0	1	1	0	1	1	0	2	461
"92"	226	89	10	3	43	334	8	3	1	2	5	1	1	4	6	1	4	6	432
"93"	226	90	8	351	4	84	1	2	0	0	11	2	2	6	8	6	7	9	501
"94"	226	91	8	65	36	177	7	3	3	0	2	0	0	2	2	2	0	6	313
"95"	226	92	92	43	12	68	3	3	1	2	2	0	0	2	3	3	3	3	240
"96"	226	93	28	172	83	186	11	5	5	3	2	4	4	4	5	4	4	6	526
"97"	226	94	18	45	19	99	3	2	2	3	2	3	1	3	3	3	6	8	220
"98"	226	95	12	45	14	230	8	4	6	7	5	2	1	4	2	5	5	6	356
"99"	226	96	1	7	19	300	3	1	0	0	0	0	0	0	0	0	0	2	333
"100"	226	97	0	14	4	286	0	0	0	0	1	0	0	0	0	0	0	0	305
"101"	226	98	0	180	0	1	0	0	0	0	1	0	0	0	0	1	1	2	186
"102"	226	99	6	91	15	715	6	4	0	1	3	1	2	2	4	1	3	2	856
"103"	226	100	6	24	14	150	8	1	4	4	3	2	0	5	7	2	1	3	234
"104"	226	101	38	139	12	170	8	4	5	3	3	1	1	4	9	7	9	13	426
"105"	226	102	23	147	16	247	5	1	0	2	2	0	5	1	1	0	3	4	457
"106"	226	103	8	270	18	120	1	1	0	0	1	2	2	0	0	0	0	1	424
"107"	226	104	4	118	19	145	7	0	2	1	5	2	3	2	6	3	4	7	328
"108"	226	105	13	48	62	267	10	5	5	3	3	5	5	2	10	4	1	2	445
"109"	226	106	3	206	65	179	4	4	3	3	7	5	6	8	9	4	7	10	523
"110"	226	107	36	138	69	316	8	1	2	3	5	7	6	9	9	6	6	9	630
"111"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"112"	226	108	59	184	22	81	6	5	2	1	1	4	3	1	15	6	11	14	415
"113"	226	109	58	107	150	259	18	4	8	3	7	1	4	0	10	4	2	2	637
"114"	226	110	2	9	60	642	1	0	1	0	1	0	1	0	1	0	0	0	718
"115"	226	111	20	29	34	744	2	0	0	1	0	0	2	0	0	0	0	0	832
"116"	226	112	10	45	57	198	0	1	1	2	6	2	0	2	3	8	4	3	342
"117"	226	113	80	71	49	237	5	0	1	1	1	5	2	0	1	3	2	2	460
"118"	226	114	30	47	231	48	6	10	1	4	3	0	3	1	4	1	1	2	392
"119"	226	115	2	75	264	6	2	0	0	0	0	0	0	1	0	0	1	1	352
"120"	226	116	2	46	106	31	0	1	0	0	0	0	0	0	0	0	0	0	186
"121"	226	117	27	19	95	273	3	1	0	0	0	1	1	0	1	2	0	3	426
"122"	226	118	6	58	77	237	7	2	4	0	7	3	5	2	1	1	3	5	418
"123"	226	119	3	33	31	448	6	0	1	1	1	2	4	0	2	0	0	2	534
"124"	226	120	2	41	26	450	0	1	0	0	1	0	0	0	4	0	3	2	530
"125"	226	121	14	118	27	179	11	1	0	2	0	3	3	3	2	0	1	1	365
"126"	226	122	1	10	11	1026	1	0	0	0	0	0	0	0	0	0	1	0	1050
"127"	226	123	0	4	1	452	0	0	0	0	0	0	0	0	0	0	0	1	458
"128"	226	124	4	309	33	212	2	3	0	1	2	6	4	3	3	4	4	3	593
"129"	226	125	2	20	26	286	2	0	0	1	2	2	2	2	6	5	3	6	365
"130"	226	126	6	319	84	99	3	2	2	1	1	2	2	1	0	2	4	3	531
"131"	226	127	11	397	46	55	4	0	4	0	1	3	9	3	4	5	4	7	553
"132"	226	128	5	268	25	37	1	0	0	1	2	2	3	1	1	2	7	4	359
"133"	226	129	3	195	19	33	3	0	0	0	0	0	1	0	0	0	2	0	256
"134"	226	130	29	47	50	281	2	2	1	1	1	2	2	1	1	2	2	5	429
"135"	226	131	9	64	41	231	5	1	2	0	1	3	9	2	3	3	1	8	383
"136"	226	132	3	59	98	341	2	1	1	0	0	0	0	0	0	1	0	0	506
"137"	226	133	25	30	102	173	8	2	0	1	0	0	3	0	7	1	1	12	365
"138"	226	134	17	145	105	139	6	4	1	12	2	4	9	6	10	5	7	7	479
"139"	226	135	47	83	9	29	5	1	2	0	0	0	2	0	1	3	1	0	183
"140"	226	136	4	9	123	79	2	1	0	1	0	1	0	0	0	0	0	1	221
"141"	226	137	7	153	43	55	3	0	3	0	1	2	6	1	7	7	5	5	298
"142"	226	138	19	80	65	196	11	1	2	1	9	2	4	8	20	6	0	8	432
"143"	226	139	13	201	66	71	7	0	7	4	9	3	8	0	15	3	8	12	427
"144"	226	140	20	72	24	180	11	0	0	1	6	4	1	1	5	3	4	6	338
"145"	226	141	0	40	25	150	0	0	0	0	0	1	0	0	1	1	1	2	221
"146"	226	142	0	63	17	24	10	0	1	2	3	1	2	0	1	2	1	3	130
"147"	226	143	4	180	2	5	0	0	0	0	0	1	0	0	0	0	0	1	193
"148"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"149"	226	144	15	8	25	369	4	3	2	0	4	0	1	1	2	1	1	1	437
"150"	226	145	8	144	135	33	3	0	1	0	0	0	0	2	0	1	2	0	329
"151"	226	146	18	508	15	143	2	3	4	1	1	3	1	0	0	3	0	0	702
"152"	226	147	15	82	40	95	6	3	0	3	1	0	1	2	3	5	4	2	262
"153"	226	148	4	220	29	112	9	0	2	1	0	0	5	3	8	3	1	3	400
"154"	226	149	7	90	9	77	1	1	1	1	1	1	2	1	3	2	3	4	204
"155"	226	150	27	65	8	64	2	1	0	2	3	4	4	4	4	3	4	6	201
"156"	226	151	7	51	23	213	5	1	2	4	1	1	1	1	6	3	3	4	326
"157"	226	152	9	78	7	153	3	5	2	1	6	2	3	8	5	6	5	8	301
"158"	226	153	3	201	3	18	1	0	0	0	0	0	0	0	1	0	0	4	231
"159"	226	154	1	580	8	17	2	0	0	0	1	0	1	0	2	0	0	2	614
"160"	226	155	18	131	25	133	3	1	1	1	1	1	0	5	3	2	2	4	331
"161"	226	156	6	266	66	112	3	1	1	1	0	2	1	4	7	0	2	5	477
"162"	226	157	5	68	6	74	3	4	0	0	1	1	1	0	1	1	3	0	168
"163"	226	158	15	134	31	143	10	3	1	2	2	1	2	3	4	3	8	13	375
"164"	226	159	2	42	34	66	4	1	1	1	2	0	0	0	1	4	2	1	161
"165"	226	160	72	106	76	62	5	4	4	7	5	3	5	2	4	6	2	7	370
"166"	226	161	3	198	23	45	2	1	0	0	0	3	0	1	2	1	1	5	285
"167"	226	162	4	108	90	33	4	4	0	2	0	1	5	2	4	2	1	1	261
"168"	226	163	10	105	71	118	7	2	2	2	2	2	3	0	3	5	8	3	343
"169"	226	164	10	69	27	232	8	6	3	1	3	3	3	2	2	5	4	4	382
"170"	226	165	3	267	13	29	2	0	0	0	0	0	0	0	1	0	1	0	316
"171"	226	166	5	233	17	155	4	2	0	2	0	1	1	0	2	2	3	0	427
"172"	226	167	11	90	99	103	6	2	1	1	1	1	3	1	2	1	3	10	335
"173"	226	168	12	143	7	54	4	3	0	0	0	0	1	1	4	1	1	2	233
"174"	226	169	11	176	13	160	3	0	3	2	1	2	3	2	6	1	4	6	393
"175"	226	170	18	165	14	157	13	1	2	1	3	2	2	5	14	3	8	6	414
"176"	226	171	7	52	10	150	5	3	2	1	1	1	1	0	3	3	0	2	241
"177"	226	172	17	59	40	234	11	52	4	1	1	4	10	1	10	4	14	12	474
"178"	226	173	97	360	14	125	7	2	0	2	0	2	4	5	5	3	2	3	631
"179"	226	174	15	255	6	235	4	5	1	0	0	0	1	2	5	2	1	4	536
"180"	226	175	18	195	34	77	7	1	2	0	2	0	1	5	1	6	13	8	370
"181"	226	176	78	147	15	71	7	1	1	1	2	0	3	0	1	3	2	0	332
"182"	226	177	13	139	9	150	7	3	1	6	2	0	3	5	14	6	3	7	368
"183"	226	178	45	15	13	358	9	4	2	4	8	2	2	3	8	7	4	20	504
"184"	226	179	20	40	9	281	9	0	2	4	7	3	1	2	8	3	3	12	404
"185"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"186"	226	180	11	263	7	205	6	0	0	1	1	1	2	3	8	4	2	2	516
"187"	226	181	33	257	36	181	8	5	5	7	3	2	9	4	4	8	3	10	575
"188"	226	182	32	25	48	96	6	3	4	1	3	2	2	0	0	2	0	3	227
"189"	226	183	6	574	13	89	1	1	1	1	1	1	0	0	2	1	3	2	696
"190"	226	184	6	354	21	56	1	0	3	1	2	1	1	1	1	1	2	2	453
"191"	226	185	26	123	37	27	2	2	0	1	2	1	3	0	1	1	3	2	231
"192"	226	186	3	463	12	39	2	1	0	1	0	0	0	0	0	1	2	1	525
"193"	226	187	3	42	54	168	10	3	1	2	1	3	6	1	5	0	2	5	306
"194"	226	188	4	110	18	232	8	5	3	1	5	3	3	2	2	2	2	4	404
"195"	226	189	18	76	27	232	5	7	5	3	5	3	5	0	5	2	6	12	411
"196"	226	190	29	103	25	198	12	96	10	6	8	4	11	7	11	7	12	18	557
"197"	226	191	11	81	27	36	3	6	1	2	1	1	2	0	0	1	1	0	173
"198"	226	192	14	119	59	152	6	1	1	2	4	3	6	2	1	4	3	3	380
"199"	226	193	12	112	6	144	3	1	3	1	0	0	2	0	1	0	1	0	286
"200"	226	194	2	258	8	2	1	1	0	0	0	1	2	1	0	1	2	0	279
"201"	226	195	89	108	39	103	6	2	1	3	1	2	1	1	1	2	4	5	368
"202"	226	196	12	74	100	111	5	3	3	2	3	6	5	1	2	4	3	6	340
"203"	226	197	14	47	60	190	4	1	2	3	3	2	2	1	2	4	2	7	344
"204"	226	198	9	175	19	250	12	6	2	1	3	1	1	2	2	1	4	5	493
"205"	226	199	3	39	9	297	3	3	0	1	2	2	1	0	3	1	2	2	368
"206"	226	200	39	111	11	204	5	4	0	3	6	3	6	3	14	3	2	11	425
"207"	226	201	6	59	14	385	9	1	44	6	10	1	6	2	1	11	2	9	566
"208"	226	202	22	84	22	206	9	4	30	7	4	5	7	2	2	4	0	3	411
"209"	226	203	30	267	17	268	3	5	2	3	4	7	5	8	4	5	14	22	664
"210"	226	204	4	185	6	311	5	0	2	4	3	4	2	4	4	3	1	14	552
"211"	226	205	52	23	34	137	6	7	2	2	4	2	2	6	2	0	5	2	286
"212"	226	206	0	157	5	67	1	11	2	1	2	1	0	0	1	1	2	3	254
"213"	226	207	6	137	38	80	15	85	9	7	4	3	3	1	5	5	24	2	424
"214"	226	208	2	210	6	69	5	4	0	1	0	2	1	3	5	1	0	1	310
"215"	226	209	8	120	25	232	5	49	6	4	4	6	7	7	12	8	19	7	519
"216"	226	210	6	47	52	35	3	30	0	4	2	3	4	1	6	3	2	2	200
"217"	226	211	11	210	8	90	3	15	2	1	5	5	2	0	1	8	7	10	378
"218"	226	212	39	133	2	27	2	32	3	5	1	2	1	3	0	0	2	1	253
"219"	226	213	10	70	12	219	5	32	4	4	3	6	3	4	8	5	8	5	398
"220"	226	214	6	119	14	379	7	4	3	2	3	0	0	5	5	2	0	3	552
"221"	226	215	3	13	0	185	1	0	0	1	1	0	0	1	0	0	0	0	205
"222"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"223"	226	216	11	202	10	132	3	0	1	0	0	1	1	1	4	0	2	2	370
"224"	226	217	1	117	10	162	9	8	0	0	1	1	3	0	0	0	2	1	315
"225"	226	218	3	58	52	22	3	3	3	3	3	1	2	1	1	3	3	4	165
"226"	226	219	14	212	21	16	0	11	3	6	1	3	4	1	1	2	8	7	310
"227"	226	220	2	7	16	145	5	6	1	0	1	2	0	1	1	2	0	2	191
"228"	226	221	2	14	90	60	3	16	1	0	0	1	5	3	2	5	9	12	223
"229"	226	222	19	77	8	203	7	191	7	2	2	4	2	2	5	1	9	7	546
"230"	226	223	8	104	32	290	7	22	6	14	5	9	8	8	15	12	10	25	575
"231"	226	224	2	104	10	85	3	2	0	0	0	0	0	0	0	0	2	0	208
"232"	226	225	4	207	14	14	3	103	15	5	4	3	5	3	0	2	17	7	406
"233"	226	226	10	568	18	145	1	3	1	1	1	1	2	1	2	6	3	7	770
"234"	226	227	8	206	11	67	2	1	0	3	1	1	3	0	1	1	3	2	310
"235"	226	228	9	264	25	4	2	1	0	0	0	0	1	0	0	0	1	1	308
"236"	226	229	6	61	6	123	5	27	2	5	2	1	2	1	3	3	2	4	253
"237"	226	230	51	131	48	58	3	1	1	2	1	2	7	1	5	3	4	3	321
"238"	226	231	7	245	34	2	0	0	1	1	1	2	2	2	1	2	0	2	302
"239"	226	232	25	216	35	199	16	37	6	6	5	5	8	7	9	2	3	8	587
"240"	226	233	14	233	7	28	1	0	1	0	0	1	3	1	7	1	2	2	301
"241"	226	234	6	210	19	34	2	0	1	1	0	2	2	1	0	1	0	0	279
"242"	226	235	1	367	14	41	1	0	1	0	0	0	0	0	1	1	0	0	427
"243"	226	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"244"	226	237	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"245"	226	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"246"	NA	NA	4343	32354	8782	35719	1096	1332	481	425	497	403	588	447	922	593	723	986	89691
"247"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"248"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
