"ernku.dsUnz.dh.dz0.la0"	"fuEufyf.kr.ds.i.k.esa.fn..x..fof.k.ekU..erksa.dh.la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"dqy.fof.k.ekU..er"	"izfr.ksfir.erksa.dh.la..k"	"X.ksx"	"fufonRr.erksa.dh.la..k"
"25"	"20"	"119"	"238"	"7"	"24"	"3"	"7"	"6"	"3"	"7"	"414"	"0"	"414"	""
"26"	"21"	"182"	"150"	"12"	"99"	"3"	"35"	"16"	"3"	"18"	"518"	"0"	"518"	""
"27"	"21A"	"78"	"57"	"2"	"28"	"4"	"59"	"2"	"2"	"1"	"233"	"0"	"233"	""
"28"	"22"	"44"	"235"	"9"	"216"	"4"	"14"	"2"	"5"	"18"	"547"	"0"	"547"	""
"29"	"23"	"41"	"396"	"14"	"48"	"8"	"6"	"6"	"8"	"14"	"541"	"0"	"541"	""
"30"	"24"	"198"	"124"	"5"	"48"	"7"	"24"	"17"	"10"	"19"	"452"	"0"	"452"	""
"31"	"25"	"194"	"254"	"13"	"128"	"5"	"46"	"12"	"7"	"14"	"673"	"0"	"673"	""
"32"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"33"	""	"vCnql lqCgku"	"egsUnz ukjk;.k ;kno"	"jktho u;u"	"fouksn dqekj flag"	"lqn'kZu pUnz iky"	"eks0 jTtkd"	"ljdkj ejkaMh"	"Q.kh yky lkg"	"lfPpnkuUn flag"	""	""	""	""
"34"	"26"	"94"	"206"	"6"	"80"	"4"	"8"	"8"	"8"	"18"	"432"	"0"	"432"	""
"35"	"27"	"112"	"116"	"5"	"118"	"7"	"9"	"7"	"1"	"7"	"382"	"0"	"382"	""
"36"	"27A"	"27"	"142"	"6"	"92"	"6"	"14"	"3"	"2"	"9"	"301"	"0"	"301"	""
"37"	"28"	"84"	"274"	"8"	"202"	"13"	"13"	"15"	"2"	"11"	"622"	"0"	"622"	""
"38"	"29"	"38"	"219"	"16"	"309"	"12"	"8"	"4"	"6"	"26"	"638"	"0"	"638"	""
"39"	"30"	"15"	"83"	"7"	"245"	"4"	"2"	"17"	"3"	"8"	"384"	"0"	"384"	""
"40"	"31"	"11"	"62"	"7"	"384"	"9"	"8"	"8"	"1"	"4"	"494"	"0"	"494"	""
"41"	"31A"	"4"	"61"	"4"	"291"	"4"	"1"	"2"	"1"	"0"	"368"	"0"	"368"	""
"42"	"32"	"8"	"216"	"11"	"295"	"4"	"9"	"4"	"1"	"14"	"562"	"0"	"562"	""
"43"	"33"	"2"	"43"	"9"	"346"	"9"	"10"	"2"	"2"	"15"	"438"	"0"	"438"	""
"44"	"34"	"56"	"161"	"20"	"131"	"10"	"12"	"6"	"12"	"25"	"433"	"0"	"433"	""
"45"	"34A"	"42"	"168"	"6"	"45"	"2"	"5"	"2"	"4"	"5"	"279"	"0"	"279"	""
"46"	"35"	"21"	"209"	"8"	"179"	"10"	"0"	"4"	"4"	"10"	"445"	"0"	"445"	""
"47"	"36"	"21"	"122"	"7"	"357"	"7"	"4"	"4"	"5"	"6"	"533"	"0"	"533"	""
"48"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"49"	""	"vCnql lqCgku"	"egsUnz ukjk;.k ;kno"	"jktho u;u"	"fouksn dqekj flag"	"lqn'kZu pUnz iky"	"eks0 jTtkd"	"ljdkj ejkaMh"	"Q.kh yky lkg"	"lfPpnkuUn flag"	""	""	""	""
"50"	"37"	"16"	"209"	"22"	"384"	"16"	"18"	"12"	"7"	"32"	"716"	"0"	"716"	""
"51"	"38"	"16"	"228"	"28"	"388"	"8"	"9"	"9"	"4"	"11"	"701"	"0"	"701"	""
"52"	"39"	"5"	"241"	"4"	"115"	"1"	"1"	"3"	"0"	"6"	"376"	"0"	"376"	""
"53"	"40"	"20"	"328"	"34"	"131"	"5"	"6"	"5"	"5"	"17"	"551"	"0"	"551"	""
"54"	"41"	"89"	"439"	"13"	"275"	"9"	"18"	"3"	"6"	"13"	"865"	"0"	"865"	""
"55"	"42"	"175"	"377"	"8"	"68"	"6"	"5"	"9"	"3"	"15"	"666"	"0"	"666"	""
"56"	"43"	"93"	"357"	"59"	"143"	"7"	"7"	"7"	"15"	"33"	"721"	"0"	"721"	""
"57"	"44"	"25"	"254"	"10"	"355"	"13"	"5"	"13"	"13"	"33"	"721"	"0"	"721"	""
"58"	"45"	"8"	"116"	"6"	"314"	"12"	"3"	"11"	"5"	"10"	"485"	"0"	"485"	""
"59"	"46"	"51"	"129"	"16"	"358"	"6"	"12"	"5"	"8"	"18"	"603"	"0"	"603"	""
"60"	"47"	"10"	"210"	"35"	"120"	"1"	"3"	"1"	"5"	"10"	"395"	"0"	"395"	""
"61"	"48"	"29"	"159"	"14"	"254"	"5"	"20"	"5"	"3"	"6"	"495"	"0"	"495"	""
"62"	"48A"	"19"	"117"	"9"	"335"	"7"	"5"	"4"	"4"	"15"	"515"	"0"	"515"	""
"63"	"49"	"239"	"343"	"10"	"59"	"5"	"26"	"8"	"1"	"17"	"708"	"0"	"708"	""
"64"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"65"	""	"vCnql lqCgku"	"egsUnz ukjk;.k ;kno"	"jktho u;u"	"fouksn dqekj flag"	"lqn'kZu pUnz iky"	"eks0 jTtkd"	"ljdkj ejkaMh"	"Q.kh yky lkg"	"lfPpnkuUn flag"	""	""	""	""
"66"	"50"	"64"	"474"	"13"	"123"	"9"	"8"	"5"	"5"	"23"	"724"	"0"	"724"	""
"67"	"51"	"35"	"142"	"12"	"276"	"9"	"8"	"5"	"2"	"15"	"504"	"0"	"504"	""
"68"	"52"	"42"	"108"	"10"	"283"	"4"	"0"	"2"	"2"	"4"	"455"	"0"	"455"	""
"69"	"53"	"55"	"65"	"7"	"352"	"4"	"4"	"7"	"4"	"16"	"514"	"0"	"514"	""
"70"	"54"	"23"	"339"	"13"	"176"	"6"	"4"	"26"	"7"	"17"	"611"	"0"	"611"	""
"71"	"55"	"57"	"203"	"5"	"25"	"1"	"9"	"2"	"1"	"5"	"308"	"0"	"308"	""
"72"	"56"	"14"	"142"	"11"	"123"	"4"	"2"	"1"	"4"	"17"	"318"	"0"	"318"	""
"73"	"57"	"14"	"145"	"7"	"190"	"18"	"5"	"1"	"3"	"12"	"395"	"0"	"395"	""
"74"	"57A"	"12"	"170"	"16"	"229"	"13"	"10"	"7"	"6"	"15"	"478"	"0"	"478"	""
"75"	"58"	"104"	"312"	"15"	"54"	"6"	"10"	"12"	"9"	"46"	"568"	"0"	"568"	""
"76"	"59"	"24"	"182"	"17"	"391"	"19"	"3"	"10"	"8"	"16"	"670"	"0"	"670"	""
"77"	"60"	"15"	"145"	"16"	"178"	"6"	"5"	"6"	"13"	"13"	"397"	"0"	"397"	""
"78"	"61"	"27"	"252"	"14"	"334"	"12"	"7"	"0"	"5"	"8"	"659"	"0"	"659"	""
"79"	"62"	"31"	"158"	"12"	"196"	"8"	"10"	"5"	"2"	"9"	"431"	"0"	"431"	""
"80"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"81"	""	"vCnql lqCgku"	"egsUnz ukjk;.k ;kno"	"jktho u;u"	"fouksn dqekj flag"	"lqn'kZu pUnz iky"	"eks0 jTtkd"	"ljdkj ejkaMh"	"Q.kh yky lkg"	"lfPpnkuUn flag"	""	""	""	""
"82"	"63"	"20"	"230"	"4"	"192"	"2"	"4"	"3"	"3"	"5"	"463"	"0"	"463"	""
"83"	"64"	"73"	"410"	"10"	"61"	"1"	"6"	"5"	"3"	"22"	"591"	"0"	"591"	""
"84"	"65"	"65"	"409"	"13"	"129"	"8"	"4"	"1"	"2"	"16"	"647"	"0"	"647"	""
"85"	"66"	"46"	"384"	"9"	"203"	"5"	"7"	"20"	"9"	"24"	"707"	"0"	"707"	""
"86"	"67"	"38"	"177"	"9"	"250"	"12"	"12"	"7"	"5"	"7"	"517"	"0"	"517"	""
"87"	"68"	"21"	"163"	"10"	"261"	"8"	"9"	"28"	"3"	"16"	"519"	"0"	"519"	""
"88"	"69"	"114"	"122"	"5"	"9"	"1"	"14"	"3"	"2"	"2"	"272"	"0"	"272"	""
"89"	"69A"	"79"	"165"	"6"	"9"	"1"	"10"	"7"	"8"	"21"	"306"	"0"	"306"	""
"90"	"70"	"18"	"249"	"9"	"58"	"2"	"1"	"18"	"0"	"8"	"363"	"0"	"363"	""
"91"	"71"	"28"	"116"	"13"	"297"	"12"	"13"	"8"	"2"	"36"	"525"	"0"	"525"	""
"92"	"72"	"16"	"284"	"9"	"146"	"1"	"3"	"2"	"6"	"13"	"480"	"0"	"480"	""
"93"	"73"	"22"	"139"	"5"	"340"	"7"	"7"	"5"	"4"	"9"	"538"	"0"	"538"	""
"94"	"74"	"40"	"169"	"14"	"367"	"10"	"4"	"6"	"5"	"14"	"629"	"0"	"629"	""
"95"	"75"	"12"	"81"	"9"	"249"	"16"	"8"	"35"	"2"	"10"	"422"	"0"	"422"	""
"96"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"97"	""	"vCnql lqCgku"	"egsUnz ukjk;.k ;kno"	"jktho u;u"	"fouksn dqekj flag"	"lqn'kZu pUnz iky"	"eks0 jTtkd"	"ljdkj ejkaMh"	"Q.kh yky lkg"	"lfPpnkuUn flag"	""	""	""	""
"98"	"75A"	"16"	"250"	"4"	"48"	"2"	"29"	"55"	"10"	"22"	"436"	"0"	"436"	""
"99"	"76"	"37"	"240"	"10"	"83"	"5"	"12"	"7"	"6"	"9"	"409"	"0"	"409"	""
"100"	"77"	"86"	"254"	"22"	"134"	"11"	"9"	"10"	"1"	"7"	"534"	"0"	"534"	""
"101"	"78"	"21"	"114"	"7"	"222"	"11"	"3"	"4"	"6"	"17"	"405"	"0"	"405"	""
"102"	"78A"	"25"	"242"	"5"	"104"	"3"	"3"	"2"	"1"	"9"	"394"	"0"	"394"	""
"103"	"79"	"65"	"218"	"9"	"47"	"4"	"22"	"2"	"5"	"15"	"387"	"0"	"387"	""
"104"	"79A"	"17"	"248"	"12"	"21"	"5"	"59"	"2"	"5"	"13"	"382"	"0"	"382"	""
"105"	"80"	"36"	"286"	"10"	"284"	"4"	"25"	"5"	"8"	"23"	"681"	"0"	"681"	""
"106"	"81"	"11"	"333"	"6"	"8"	"2"	"15"	"4"	"6"	"16"	"401"	"0"	"401"	""
"107"	"81A"	"28"	"330"	"8"	"11"	"7"	"44"	"3"	"6"	"10"	"447"	"0"	"447"	""
"108"	"82"	"8"	"164"	"13"	"147"	"8"	"5"	"3"	"11"	"11"	"370"	"0"	"370"	""
"109"	"83"	"47"	"281"	"16"	"210"	"12"	"74"	"12"	"22"	"29"	"703"	"0"	"703"	""
"110"	"84"	"23"	"302"	"9"	"75"	"6"	"14"	"5"	"14"	"20"	"468"	"0"	"468"	""
"111"	"84A"	"28"	"306"	"3"	"87"	"5"	"17"	"1"	"8"	"13"	"468"	"0"	"468"	""
"112"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"113"	""	"vCnql lqCgku"	"egsUnz ukjk;.k ;kno"	"jktho u;u"	"fouksn dqekj flag"	"lqn'kZu pUnz iky"	"eks0 jTtkd"	"ljdkj ejkaMh"	"Q.kh yky lkg"	"lfPpnkuUn flag"	""	""	""	""
"114"	"85"	"16"	"284"	"4"	"87"	"0"	"3"	"2"	"1"	"8"	"405"	"0"	"405"	""
"115"	"85A"	"6"	"204"	"2"	"157"	"11"	"5"	"2"	"5"	"8"	"400"	"0"	"400"	""
"116"	"86"	"6"	"193"	"6"	"178"	"7"	"0"	"4"	"10"	"15"	"419"	"0"	"419"	""
"117"	"86A"	"14"	"215"	"12"	"173"	"4"	"2"	"4"	"4"	"8"	"436"	"0"	"436"	""
"118"	"87"	"33"	"378"	"7"	"94"	"2"	"5"	"7"	"15"	"30"	"571"	"0"	"571"	""
"119"	"88"	"22"	"189"	"17"	"350"	"13"	"17"	"7"	"16"	"21"	"652"	"0"	"652"	""
"120"	"89"	"16"	"223"	"16"	"147"	"10"	"5"	"119"	"2"	"15"	"553"	"0"	"553"	""
"121"	"90"	"17"	"370"	"12"	"77"	"2"	"3"	"2"	"2"	"14"	"499"	"0"	"499"	""
"122"	"91"	"7"	"101"	"2"	"148"	"4"	"6"	"38"	"5"	"6"	"317"	"0"	"317"	""
"123"	"92"	"144"	"258"	"12"	"114"	"9"	"91"	"61"	"8"	"16"	"713"	"0"	"713"	""
"124"	"93"	"86"	"213"	"14"	"143"	"4"	"4"	"8"	"2"	"15"	"489"	"0"	"489"	""
"125"	"94"	"95"	"339"	"12"	"10"	"5"	"7"	"2"	"8"	"15"	"493"	"0"	"493"	""
"126"	"95"	"145"	"197"	"2"	"79"	"2"	"19"	"2"	"2"	"11"	"459"	"0"	"459"	""
"127"	"96"	"67"	"179"	"5"	"131"	"17"	"15"	"3"	"2"	"14"	"433"	"0"	"433"	""
"128"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"129"	""	"vCnql lqCgku"	"egsUnz ukjk;.k ;kno"	"jktho u;u"	"fouksn dqekj flag"	"lqn'kZu pUnz iky"	"eks0 jTtkd"	"ljdkj ejkaMh"	"Q.kh yky lkg"	"lfPpnkuUn flag"	""	""	""	""
"130"	"97"	"170"	"37"	"7"	"244"	"13"	"7"	"8"	"4"	"12"	"502"	"0"	"502"	""
"131"	"98"	"124"	"144"	"10"	"189"	"8"	"12"	"12"	"8"	"17"	"524"	"0"	"524"	""
"132"	"99"	"78"	"235"	"9"	"262"	"13"	"61"	"93"	"12"	"19"	"782"	"0"	"782"	""
"133"	"100"	"117"	"217"	"11"	"217"	"18"	"8"	"38"	"1"	"12"	"639"	"0"	"639"	""
"134"	"101"	"80"	"36"	"8"	"157"	"15"	"3"	"35"	"5"	"6"	"345"	"0"	"345"	""
"135"	"102"	"149"	"95"	"14"	"231"	"53"	"6"	"7"	"4"	"5"	"564"	"0"	"564"	""
"136"	"103"	"43"	"149"	"12"	"403"	"39"	"9"	"8"	"12"	"21"	"696"	"0"	"696"	""
"137"	"104"	"169"	"148"	"17"	"27"	"9"	"4"	"11"	"3"	"15"	"403"	"0"	"403"	""
"138"	"105"	"107"	"261"	"7"	"28"	"39"	"4"	"30"	"2"	"15"	"493"	"0"	"493"	""
"139"	"106"	"173"	"276"	"16"	"15"	"5"	"4"	"5"	"4"	"8"	"506"	"0"	"506"	""
"140"	"106A"	"65"	"236"	"6"	"5"	"2"	"6"	"4"	"4"	"16"	"344"	"0"	"344"	""
"141"	"107"	"19"	"209"	"22"	"315"	"22"	"14"	"17"	"15"	"31"	"664"	"0"	"664"	""
"142"	"108"	"25"	"79"	"16"	"482"	"24"	"15"	"12"	"16"	"48"	"717"	"0"	"717"	""
"143"	"109"	"39"	"77"	"8"	"310"	"10"	"6"	"2"	"4"	"4"	"460"	"0"	"460"	""
"144"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"145"	""	"vCnql lqCgku"	"egsUnz ukjk;.k ;kno"	"jktho u;u"	"fouksn dqekj flag"	"lqn'kZu pUnz iky"	"eks0 jTtkd"	"ljdkj ejkaMh"	"Q.kh yky lkg"	"lfPpnkuUn flag"	""	""	""	""
"146"	"110"	"20"	"320"	"12"	"175"	"13"	"4"	"8"	"7"	"15"	"574"	"0"	"574"	""
"147"	"111"	"9"	"84"	"5"	"363"	"13"	"8"	"3"	"3"	"5"	"493"	"0"	"493"	""
"148"	"112"	"106"	"56"	"10"	"412"	"19"	"18"	"11"	"9"	"32"	"673"	"0"	"673"	""
"149"	"113"	"243"	"88"	"5"	"88"	"8"	"6"	"7"	"4"	"7"	"456"	"0"	"456"	""
"150"	"114"	"53"	"71"	"9"	"332"	"8"	"3"	"4"	"4"	"12"	"496"	"0"	"496"	""
"151"	"115"	"157"	"262"	"13"	"71"	"8"	"12"	"21"	"14"	"26"	"584"	"0"	"584"	""
"152"	"116"	"26"	"218"	"12"	"251"	"8"	"1"	"2"	"3"	"9"	"530"	"0"	"530"	""
"153"	"117"	"321"	"81"	"9"	"46"	"7"	"8"	"24"	"14"	"29"	"539"	"0"	"539"	""
"154"	"118"	"96"	"147"	"4"	"145"	"8"	"6"	"4"	"4"	"6"	"420"	"0"	"420"	""
"155"	"119"	"315"	"62"	"10"	"90"	"6"	"1"	"2"	"6"	"11"	"503"	"0"	"503"	""
"156"	"120"	"70"	"150"	"13"	"228"	"11"	"4"	"8"	"4"	"21"	"509"	"0"	"509"	""
"157"	"121"	"103"	"72"	"7"	"184"	"5"	"25"	"4"	"3"	"9"	"412"	"0"	"412"	""
"158"	"122"	"199"	"52"	"7"	"24"	"3"	"67"	"7"	"5"	"17"	"381"	"0"	"381"	""
"159"	"123"	"277"	"65"	"11"	"69"	"37"	"21"	"10"	"9"	"22"	"521"	"0"	"521"	""
"160"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"161"	""	"vCnql lqCgku"	"egsUnz ukjk;.k ;kno"	"jktho u;u"	"fouksn dqekj flag"	"lqn'kZu pUnz iky"	"eks0 jTtkd"	"ljdkj ejkaMh"	"Q.kh yky lkg"	"lfPpnkuUn flag"	""	""	""	""
"162"	"124"	"200"	"26"	"4"	"133"	"0"	"5"	"4"	"3"	"9"	"384"	"0"	"384"	""
"163"	"124A"	"163"	"95"	"8"	"50"	"2"	"1"	"11"	"5"	"13"	"348"	"0"	"348"	""
"164"	"125"	"186"	"316"	"8"	"28"	"5"	"9"	"21"	"4"	"15"	"592"	"0"	"592"	""
"165"	"126"	"148"	"319"	"13"	"7"	"1"	"3"	"7"	"6"	"14"	"518"	"0"	"518"	""
"166"	"127"	"191"	"88"	"8"	"32"	"3"	"3"	"8"	"5"	"20"	"358"	"0"	"358"	""
"167"	"127A"	"14"	"72"	"10"	"185"	"8"	"4"	"8"	"3"	"8"	"312"	"0"	"312"	""
"168"	"128"	"40"	"149"	"4"	"299"	"11"	"7"	"7"	"3"	"12"	"532"	"0"	"532"	""
"169"	"129"	"7"	"120"	"6"	"189"	"5"	"3"	"14"	"6"	"7"	"357"	"0"	"357"	""
"170"	"129A"	"56"	"61"	"2"	"126"	"7"	"0"	"8"	"5"	"7"	"272"	"0"	"272"	""
"171"	"130"	"49"	"179"	"18"	"268"	"9"	"16"	"28"	"9"	"16"	"592"	"0"	"592"	""
"172"	"131"	"81"	"64"	"5"	"145"	"2"	"1"	"5"	"0"	"3"	"306"	"0"	"306"	""
"173"	"132"	"9"	"68"	"14"	"307"	"4"	"4"	"5"	"8"	"16"	"435"	"0"	"435"	""
"174"	"132A"	"123"	"156"	"9"	"31"	"8"	"5"	"1"	"3"	"7"	"343"	"0"	"343"	""
"175"	"133"	"197"	"226"	"14"	"134"	"3"	"11"	"10"	"3"	"10"	"608"	"0"	"608"	""
"176"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"177"	""	"vCnql lqCgku"	"egsUnz ukjk;.k ;kno"	"jktho u;u"	"fouksn dqekj flag"	"lqn'kZu pUnz iky"	"eks0 jTtkd"	"ljdkj ejkaMh"	"Q.kh yky lkg"	"lfPpnkuUn flag"	""	""	""	""
"178"	"134"	"26"	"111"	"26"	"367"	"16"	"4"	"6"	"7"	"19"	"582"	"0"	"582"	""
"179"	"135"	"100"	"372"	"22"	"117"	"12"	"14"	"5"	"20"	"27"	"689"	"0"	"689"	""
"180"	"136"	"15"	"181"	"12"	"311"	"17"	"8"	"12"	"9"	"16"	"581"	"0"	"581"	""
"181"	"137"	"33"	"274"	"12"	"87"	"3"	"5"	"1"	"3"	"9"	"427"	"0"	"427"	""
"182"	"138"	"71"	"146"	"11"	"285"	"7"	"2"	"5"	"2"	"7"	"536"	"0"	"536"	""
"183"	"139"	"33"	"227"	"13"	"213"	"13"	"8"	"2"	"6"	"8"	"523"	"0"	"523"	""
"184"	"140"	"116"	"90"	"2"	"112"	"2"	"0"	"5"	"2"	"8"	"337"	"0"	"337"	""
"185"	"141"	"117"	"164"	"12"	"9"	"4"	"6"	"7"	"3"	"19"	"341"	"0"	"341"	""
"186"	"142"	"138"	"238"	"8"	"71"	"6"	"5"	"3"	"9"	"11"	"489"	"0"	"489"	""
"187"	"143"	"70"	"130"	"10"	"162"	"8"	"5"	"4"	"3"	"4"	"396"	"0"	"396"	""
"188"	"144"	"0"	"6"	"2"	"132"	"2"	"1"	"3"	"1"	"3"	"150"	"0"	"150"	""
"189"	"145"	"201"	"91"	"3"	"32"	"2"	"7"	"5"	"4"	"2"	"347"	"0"	"347"	""
"190"	"146"	"64"	"238"	"9"	"229"	"16"	"7"	"7"	"7"	"26"	"603"	"0"	"603"	""
"191"	"147"	"152"	"218"	"14"	"104"	"5"	"7"	"5"	"13"	"18"	"536"	"0"	"536"	""
"192"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"193"	""	"vCnql lqCgku"	"egsUnz ukjk;.k ;kno"	"jktho u;u"	"fouksn dqekj flag"	"lqn'kZu pUnz iky"	"eks0 jTtkd"	"ljdkj ejkaMh"	"Q.kh yky lkg"	"lfPpnkuUn flag"	""	""	""	""
"194"	"148"	"90"	"117"	"11"	"143"	"8"	"3"	"5"	"1"	"6"	"384"	"0"	"384"	""
"195"	"149"	"67"	"128"	"13"	"282"	"11"	"3"	"6"	"1"	"9"	"520"	"0"	"520"	""
"196"	"150"	"113"	"143"	"15"	"21"	"101"	"17"	"4"	"9"	"23"	"446"	"0"	"446"	""
"197"	"151"	"162"	"68"	"8"	"110"	"43"	"5"	"5"	"4"	"4"	"409"	"0"	"409"	""
"198"	"152"	"156"	"100"	"7"	"267"	"28"	"19"	"6"	"12"	"18"	"613"	"0"	"613"	""
"199"	"153"	"54"	"93"	"5"	"312"	"48"	"9"	"2"	"3"	"6"	"532"	"0"	"532"	""
"200"	"153A"	"84"	"37"	"6"	"312"	"39"	"7"	"8"	"6"	"20"	"519"	"0"	"519"	""
