"Round.No."	"Sl..No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"Total.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"273"	"FINAL RESULT SHEET [SEE RULE 56C(2){C}]"	""	""	""	""	""	""	""	""	""	""	""	""
"274"	"ELECTION OF THE LEGISLATIVE ASSEMBLY ELECTION"	""	""	""	""	""	""	""	""	""	""	""	""
"275"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 80-Jhanjharpur"	""	""	""	""	""	""	""	""	""	""	""	""
"276"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"277"	""	""	"Anjar Ahmad Kha,(L.J.P)"	"Dinesh Mahto (C.P.I)M.L"	"Nitish Mishra (J.D.U)"	"Ram Awatar Chaudhary (R.J.D)"	"Ram Bilas Dhangar (B.S.P)"	"Vivekanandan Mishra (S.P.)"	"Nathuni Yadav (IND.)"	""	""	""	""
"278"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"279"	"Round - 16"	"193"	"24"	"9"	"321"	"48"	"11"	"4"	"9"	"426"	""	"426"	"0"
"280"	""	"194"	"34"	"12"	"167"	"191"	"20"	"18"	"14"	"456"	""	"456"	"0"
"281"	""	"195"	"10"	"4"	"237"	"18"	"9"	"4"	"11"	"293"	""	"293"	"0"
"282"	""	"196"	"16"	"5"	"209"	"55"	"10"	"2"	"15"	"312"	""	"312"	"0"
"283"	""	"Total"	"84"	"30"	"934"	"312"	"50"	"28"	"49"	"1487"	""	"1487"	"0"
"284"	"Total No. of votes recorded at Polling stations"	""	"10062"	"2109"	"41004"	"24344"	"3445"	"2436"	"3931"	"87331"	""	"87331"	"0"
"285"	"No. of Votes recorded on postal ballot papers"	""	""	""	""	""	""	""	""	""	""	""	""
"286"	"TOTAL VOTES POLLED"	""	"10062"	"2109"	"41004"	"24344"	"3445"	"2436"	"3931"	"87331"	""	"87331"	"0"
